	genes	instances
KH_1	37	92
DEAD	86	88
WW	49	88
PRY	87	87
RCC1_2	20	87
TPR_2	57	86
Filament	83	83
Ion_trans_2	68	83
ubiquitin	60	80
Cadherin_C_2	79	79
C1_1	61	79
Histone	77	77
TIG	27	77
RhoGEF	73	75
zf-CCCH	54	75
SRCR	20	75
Kazal_2	47	74
UCH	73	73
zf-H2C2_5	42	72
UCH_1	71	71
adh_short	70	70
RhoGAP	70	70
MHC_I	70	70
TPR_12	40	69
Annexin	16	68
adh_short_C2	66	66
Bromodomain	47	66
p450	64	64
zf-met	35	64
Homeobox_KN	61	62
Prok-RING_4	61	61
AAA_5	40	61
BACK	60	60
ResIII	58	60
HMG_box	50	60
EF-hand_8	48	60
EF-hand_5	44	60
Cadherin_3	5	60
SCAN	59	59
AAA	52	59
VWC	28	59
F-box	58	58
LRRNT	49	58
LRR_5	43	58
HMG_box_2	48	57
MORN	16	56
CBFD_NFYB_HMF	55	55
BTB_2	53	53
RabGAP-TBC	53	53
ABC_membrane	37	53
EGF_3	25	53
TAS2R	52	52
Hormone_recep	52	52
Y_phosphatase	40	52
Kazal_1	28	52
Cadherin_tail	51	51
F-box-like	51	51
Forkhead	51	51
MAGE	48	51
IL8	50	50
zf-C4	50	50
MHC_II_beta	50	50
Myb_DNA-binding	35	50
PSI	31	50
LRR_6	27	50
PX	49	49
7tm_2	49	49
ANAPC4_WD40	39	49
VWD	15	49
Kinesin	48	48
Thioredoxin	33	48
bZIP_2	47	47
TNFR_c6	23	47
Epiglycanin_TR	7	47
Microtub_bd	46	46
FHA	46	46
DnaJ	46	46
Neur_chan_LBD	46	46
FERM_M	46	46
Rad60-SLD	34	46
Gelsolin	14	46
SET	45	45
MHC_II_alpha	45	45
LRRC37	7	45
cNMP_binding	33	44
FG-GAP	20	44
TIL	11	44
C8	11	44
Neur_chan_memb	43	43
PMP22_Claudin	43	43
zf-C2H2_jaz	27	43
Kringle	16	43
SOCS_box	42	42
GAGE	42	42
NACHT	42	42
TPR_8	33	42
TPR_11	29	42
TB	7	42
UQ_con	41	41
Methyltransf_11	41	41
Reprolysin	41	41
ANF_receptor	41	41
RA	40	41
Sugar_tr	40	40
Myosin_head	40	40
bZIP_1	40	40
TGF_beta	40	40
Crystall	15	40
PYRIN	39	39
Pep_M12B_propep	39	39
UBA	31	39
Hydrolase	38	38
DSPc	38	38
Reprolysin_3	38	38
RGS	36	38
SEA	22	38
GoLoco	14	38
zf-FCS	6	38
Methyltransf_25	37	37
C1-set_C	37	37
TNF	37	37
TPR_19	28	37
TUDOR	14	37
EPTP	7	37
zf-RING_11	36	36
E1-E2_ATPase	36	36
Reprolysin_5	36	36
F5_F8_type_C	28	36
Pkinase_C	35	35
zf-CCHC	20	35
dsrm	19	35
NHL	10	35
Sulfotransfer_1	34	34
Death	34	34
RasGEF	34	34
Tubulin	34	34
SNF2_N	34	34
ArfGap	34	34
Cyclin_N	34	34
Serpin	34	34
AMP-binding	31	34
Chromo	28	34
Notch	13	34
Calx-beta	9	34
Proteasome	33	33
Lipocalin	33	33
Tetraspannin	33	33
Tubulin_C	33	33
DUF1986	31	33
TPR_17	22	33
TPR_10	9	33
Cation_ATPase	32	32
Abhydrolase_1	32	32
CAMSAP_CH	32	32
G-patch	32	32
FERM_N	32	32
KR	32	32
MAGE_N	32	32
Sema	32	32
C1q	31	32
LRRCT	23	32
HEAT	19	32
Xin	2	32
Actin	31	31
Keratin_B2	31	31
Defensin_beta_2	31	31
FYVE	30	31
MARVEL	29	31
TPR_14	29	31
PLAT	19	31
MAM	18	31
GST_C	30	30
GPS	30	30
MBT	10	30
Ets	29	29
JmjC	29	29
Glycos_transf_2	29	29
Fibrinogen_C	29	29
7tm_3	29	29
Pro_isomerase	29	29
HECT	29	29
CARD	28	29
PDZ_2	27	29
Kunitz_BPTI	20	29
FKBP_C	18	29
BRCT	16	29
S_100	28	28
Metallophos	28	28
Claudin_2	28	28
PAS	26	28
PID	26	28
Rhodanese	26	28
zf-HC5HC2H	25	28
Guanylate_cyc	18	28
CBS	18	28
Thyroglobulin_1	17	28
zf-RanBP	17	28
GTF2I	7	28
Histone_H2A_C	27	27
HSP70	27	27
PAS_3	27	27
UDPGT	26	26
FERM_C	26	26
Peptidase_M14	24	26
GATA	18	26
PPAK	1	26
RasGEF_N	25	25
MHC_I_C	25	25
ADAM_spacer1	25	25
Trypsin_2	25	25
HRM	25	25
Fz	24	25
DEP	22	25
PWWP	22	25
UPAR_LY6	22	25
fn2	16	25
IBR	15	25
Clathrin	7	25
TSP_3	5	25
LSM	24	24
Peptidase_M10	24	24
FGF	24	24
HA2	24	24
Acetyltransf_1	24	24
zf-DHHC	24	24
NTR	24	24
HEAT_2	23	24
GRAM	20	24
Xlink	14	24
Connexin	23	23
Exo_endo_phos	23	23
OB_NTP_bind	23	23
NUDIX	23	23
Acyltransferase	23	23
bZIP_Maf	23	23
MBOAT	23	23
Ricin_B_lectin	23	23
zf-C2HC	7	23
PKD	7	23
Filaggrin	1	23
Methyltransf_12	22	22
AA_permease	22	22
PG_binding_1	22	22
zf-HC5HC2H_2	22	22
zf-MYND	22	22
PH_11	22	22
Pou	22	22
RUN	20	22
HEAT_EZ	19	22
Gal-bind_lectin	16	22
WAP	14	22
Ephrin_rec_like	13	22
Ran_BP1	12	22
Prenyltrans	5	22
NAD_binding_8	21	21
zf-rbx1	21	21
GST_N_2	21	21
GST_N	21	21
FCH	21	21
Disintegrin	21	21
SNF	21	21
IGFBP	21	21
Guanylate_kin	21	21
GST_C_2	21	21
PDEase_I	21	21
Involucrin	1	21
PAS_11	20	20
EMI	20	20
PAP2	20	20
Galactosyl_T	20	20
SPAN-X	20	20
CRAL_TRIO_2	20	20
Cation_ATPase_N	20	20
AMP-binding_C	20	20
GTP_EFTU	20	20
Zip	20	20
SRPRB	20	20
Glyco_transf_29	20	20
Cystatin	17	20
FF	6	20
HMA	5	20
Cys_knot	19	19
Methyltransf_31	19	19
Keratin_2_head	19	19
CD20	19	19
MreB_Mbl	19	19
Integrin_alpha2	19	19
CRAL_TRIO	19	19
Med26	19	19
Cadherin_C	19	19
Cation_ATPase_C	19	19
ADAM_CR	19	19
PP2C	19	19
PI3_PI4_kinase	19	19
G-gamma	19	19
CD225	19	19
SAP	19	19
wnt	19	19
NPIP	19	19
ZZ	18	19
VWA_3	17	19
Kelch_5	14	19
BIR	9	19
TILa	5	19
Fasciclin	4	19
NAP	18	18
Sulfatase	18	18
SSXRD	18	18
Aldo_ket_red	18	18
TIR	18	18
GTP_EFTU_D2	18	18
TAF	18	18
Lig_chan	18	18
Lig_chan-Glu_bd	18	18
Aldedh	18	18
Clat_adaptor_s	18	18
Carb_anhydrase	18	18
Sec7	18	18
SBP_bac_3	18	18
LCE	17	18
LRR_9	16	18
VCBS	14	18
Trefoil	13	18
ABC2_membrane_3	12	18
CAP_GLY	11	18
Myb_DNA-bind_6	11	18
Na_Ca_ex	9	18
RPEL	8	18
Spin-Ssty	6	18
Clathrin_propel	3	18
Interferon	17	17
Aminotran_1_2	17	17
IRK	17	17
T-box	17	17
PCI	17	17
ADH_zinc_N	17	17
Cyclin_C	17	17
TMC	17	17
G-alpha	17	17
TGFb_propeptide	17	17
Aa_trans	17	17
ECH_1	17	17
Myotub-related	17	17
GPHH	17	17
COLFI	17	17
Interfer-bind	15	17
WWE	14	17
BEN	10	17
DCX	9	17
BEX	16	16
AAA_33	16	16
AAA_6	16	16
INT_SG_DDX_CT_C	16	16
A2M_N_2	16	16
zf-UBP	16	16
PARP	16	16
Glyco_transf_7C	16	16
A2M	16	16
IBN_N	16	16
RasGAP	16	16
TRAM_LAG1_CLN8	16	16
A2M_N	16	16
DENN	16	16
Laminin_G_3	16	16
A2M_comp	16	16
Band_7	16	16
ARID	16	16
PHD_2	16	16
A2M_recep	16	16
COesterase	16	16
DHC_N2	16	16
Laminin_N	16	16
Dynein_heavy	16	16
PLAC	16	16
Arm_2	16	16
WH2	14	16
APOBEC_N	12	16
Somatomedin_B	11	16
TPR_7	10	16
Transglut_C	9	16
PTCB-BRCT	9	16
zf-TRAF	7	16
PUF	2	16
K167R	1	16
Peptidase_C2	15	15
FH2	15	15
MT	15	15
BAR	15	15
Dynamin_N	15	15
dDENN	15	15
EphA2_TM	15	15
AAA_7	15	15
PA	15	15
Acyl-CoA_dh_M	15	15
Integrin_alpha	15	15
PH_9	15	15
Ephrin_lbd	15	15
uDENN	15	15
CAP	15	15
PNMA	15	15
tRNA-synt_1	15	15
OAR	15	15
TTL	15	15
Anticodon_1	15	15
AA_permease_2	15	15
Myosin_N	15	15
PI-PLC-X	15	15
PI-PLC-Y	15	15
DAGK_cat	15	15
Thiol-ester_cl	15	15
Na_H_Exchanger	15	15
CNH	15	15
Calpain_III	14	15
UIM	14	15
ANATO	13	15
Hist_deacetyl	13	15
zf-CXXC	13	15
EamA	12	15
APOBEC_C	11	15
KOW	11	15
ThiF	11	15
GDNF	6	15
PPTA	4	15
fn1	4	15
Tubulin-binding	4	15
Cys_rich_FGFR	1	15
Pre-SET	14	14
RnaseA	14	14
Septin	14	14
OTU	14	14
SNARE	14	14
Epimerase	14	14
AAA_9	14	14
AAA_8	14	14
PhoLip_ATPase_C	14	14
PhoLip_ATPase_N	14	14
Humanin	14	14
ELM2	14	14
G-patch_2	14	14
Cpn60_TCP1	14	14
SSF	14	14
Adaptin_N	14	14
Zona_pellucida	14	14
RNase_T	14	14
Peptidase_C14	14	14
Rpr2	14	14
Myosin_tail_1	14	14
PB1	14	14
ADH_N	14	14
Peptidase_C1	14	14
START	14	14
Cyt-b5	14	14
Gla	14	14
GST_C_3	14	14
Snf7	14	14
Tissue_fac	13	14
CarboxypepD_reg	12	14
Linker_histone	12	14
L27	10	14
NDK	10	14
Recep_L_domain	7	14
GAF	7	14
Hyd_WA	2	14
CIMR	1	14
CCDC144C	13	13
IRS	13	13
NAD_binding_1	13	13
NCD3G	13	13
IL6Ra-bind	13	13
Complex1_LYR	13	13
Globin	13	13
FA	13	13
JmjN	13	13
Sulfotransfer_2	13	13
S4	13	13
MIP	13	13
His_Phos_1	13	13
LBP_BPI_CETP	13	13
CT47	13	13
CS	13	13
SAM_PNT	13	13
OATP	13	13
TFIIS_C	13	13
Peptidase_M1	13	13
OLF	13	13
JAB	13	13
HTH_Tnp_Tc5	13	13
RAWUL	13	13
Reprolysin_2	13	13
ZU5	12	13
E2F_TDP	11	13
EF-hand_4	10	13
Macro	9	13
zf-BED	9	13
CUT	7	13
PAN_1	7	13
Sel1	5	13
DDE_1	12	12
Oxysterol_BP	12	12
Adap_comp_sub	12	12
THAP	12	12
Abhydrolase_6	12	12
TIR_2	12	12
UBA_4	12	12
Acyl-CoA_dh_1	12	12
AAA_18	12	12
ANAPC3	12	12
Frizzled	12	12
Sterol-sensing	12	12
MutS_V	12	12
UBX	12	12
Arrestin_N	12	12
Nop	12	12
Ferric_reduct	12	12
Metallothio	12	12
WH1	12	12
GST_N_3	12	12
PTB	12	12
RINGv	12	12
HATPase_c	12	12
KRTAP	12	12
HSP20	12	12
PAS_9	12	12
EF-hand_like	12	12
PBD	12	12
Cnd1	12	12
Cir_N	12	12
Ribosomal_L7Ae	12	12
MH1	12	12
HATPase_c_3	12	12
BAR_3	12	12
Thioredoxin_6	12	12
Glutaredoxin	11	12
AAA_12	11	12
AAA_11	11	12
PAM2	11	12
PSI_integrin	11	12
Pro-rich	11	12
BAH	10	12
Cofilin_ADF	10	12
AAA_17	10	12
MIT	10	12
Phospholip_A2_1	10	12
Biotin_lipoyl	10	12
MIF4G	10	12
zf-A20	8	12
S1	8	12
CSD	8	12
Glyco_hydro_31	8	12
Laminin_B	8	12
C4	6	12
Calponin	6	12
HR1	6	12
RYDR_ITPR	6	12
Fascin	5	12
RyR	3	12
Hairy_orange	11	11
Asp	11	11
F420_oxidored	11	11
Choline_transpo	11	11
HSF_DNA-bind	11	11
CENP-B_N	11	11
STAS	11	11
Acyl-CoA_dh_N	11	11
Acyl-CoA_dh_2	11	11
BNR_2	11	11
GBP	11	11
Bcl-2	11	11
Sulfotransfer_3	11	11
VPS9	11	11
DUF4599	11	11
Sulfate_transp	11	11
Hydrolase_4	11	11
EMP24_GP25L	11	11
DHR-2	11	11
Transglut_core	11	11
NTF2	11	11
tRNA_int_endo	11	11
Arrestin_C	11	11
Methyltransf_23	11	11
2OG-FeII_Oxy_3	11	11
R3H	11	11
HlyIII	11	11
Lys	11	11
NTP_transf_2	11	11
Syntaxin	11	11
GRIP	11	11
DOCK-C2	11	11
Pyr_redox_2	11	11
Plexin_cytopl	11	11
PLDc_2	9	11
MyTH4	8	11
ADK	8	11
zf-AN1	8	11
FAM47	6	11
Beta_helix	6	11
SapB_2	5	11
Mucin2_WxxW	5	11
Neuralized	4	11
Serum_albumin	4	11
APC_r	2	11
zf-NF-X1	2	11
HS1_rep	2	11
Anoctamin	10	10
NOD	10	10
FAM75	10	10
V-ATPase_G	10	10
RWD	10	10
Na_trans_assoc	10	10
MutS_IV	10	10
Methyltransf_16	10	10
Peptidase_S8	10	10
Propep_M14	10	10
RHD_dimer	10	10
COMM_domain	10	10
VIT	10	10
FYVE_2	10	10
PH_8	10	10
Lactamase_B	10	10
IL1	10	10
GAIN	10	10
Voltage_CLC	10	10
Pentaxin	10	10
MIR	10	10
zf-Di19	10	10
His_Phos_2	10	10
Activin_recp	10	10
CK_II_beta	10	10
Rhomboid	10	10
DAGK_acc	10	10
Transket_pyr	10	10
NADHdh_A3	10	10
NODP	10	10
VHS	10	10
DUF4939	10	10
Lipase	10	10
Cation_efflux	10	10
MBD	10	10
Amidohydro_1	10	10
HCO3_cotransp	10	10
Glyco_tranf_2_3	10	10
BTK	10	10
PBC	10	10
NOT2_3_5	10	10
Rap_GAP	10	10
Peptidase_M28	10	10
Not3	10	10
An_peroxidase	10	10
HGTP_anticodon	10	10
Insulin	10	10
Prp31_C	10	10
RHD_DNA_bind	10	10
BRCT_2	9	10
ITAM	8	10
WD40_4	8	10
ILEI	8	10
DUF1899	8	10
DED	7	10
Myb_DNA-bind_4	7	10
Peptidase_M16_C	7	10
Hormone_2	6	10
HELP	6	10
Surp	6	10
NtCtMGAM_N	6	10
DUF4705	5	10
APH	9	9
Mab-21	9	9
Uteroglobin	9	9
Defensin_beta	9	9
GSHPx	9	9
Flavodoxin_1	9	9
DnaJ_C	9	9
Transglut_N	9	9
ADH_zinc_N_2	9	9
LBP_BPI_CETP_C	9	9
Drf_GBD	9	9
IRF	9	9
Peptidase_S9	9	9
PDGF	9	9
MutS_III	9	9
Ldh_1_C	9	9
Ldh_1_N	9	9
XK-related	9	9
MCM	9	9
CTD_bind	9	9
Drf_FH3	9	9
DAO	9	9
PAX	9	9
PAZ	9	9
RTT107_BRCT_5	9	9
tRNA_anti-codon	9	9
IBB	9	9
Alpha_adaptinC2	9	9
CHCH	9	9
Patched	9	9
ASC	9	9
BAT2_N	9	9
Ribosomal_S18	9	9
PMG	9	9
3Beta_HSD	9	9
Cullin	9	9
DUF1669	9	9
SMC_N	9	9
Suppressor_APC	9	9
FAM25	9	9
Tim17	9	9
Syntaxin_2	9	9
Copine	9	9
Patatin	9	9
TAXi_N	9	9
PI3Ka	9	9
Cupin_8	9	9
Acetyltransf_7	9	9
Ephrin	9	9
Beach	9	9
CUE	9	9
RBM1CTR	9	9
Radical_SAM	9	9
Peptidase_M24	9	9
BRICHOS	9	9
SRCR_2	9	9
Band_3_cyto	9	9
ABC_tran_Xtn	9	9
EFhand_Ca_insen	9	9
RFX_DNA_binding	9	9
DHC_N1	9	9
TPT	9	9
DUF3699	8	9
Pyr_redox	8	9
RNase_PH	8	9
CPSase_L_D2	7	9
Furin-like	7	9
zf-GRF	7	9
AIG1	7	9
PAP_assoc	7	9
Cu-oxidase_3	6	9
4HBT	6	9
ACT_7	5	9
Hexokinase_1	5	9
Hexokinase_2	5	9
OST-HTH	3	9
PC_rep	3	9
MAP1B_neuraxin	1	9
BET	8	8
Chorein_N	8	8
Mob1_phocein	8	8
ERAP1_C	8	8
VHP	8	8
MCCD1	8	8
Occludin_ELL	8	8
Abhydrolase_3	8	8
GDA1_CD39	8	8
PTEN_C2	8	8
Cullin_Nedd8	8	8
FR47	8	8
Sulfatase_C	8	8
Epiglycanin_C	8	8
Yip1	8	8
RRM_7	8	8
DAN	8	8
AAA_19	8	8
Synaptobrevin	8	8
zf-3CxxC	8	8
Peptidase_M13	8	8
Integrin_beta	8	8
BNR_3	8	8
AhpC-TSA	8	8
U-box	8	8
Folate_rec	8	8
Yippee-Mis18	8	8
Proteasome_A_N	8	8
LST1	8	8
Prefoldin_2	8	8
Phostensin_N	8	8
PPI_Ypi1	8	8
CN_hydrolase	8	8
Glyco_transf_10	8	8
Phosphodiest	8	8
Palm_thioest	8	8
Neurexophilin	8	8
Branch	8	8
MCM_OB	8	8
Peripla_BP_6	8	8
2OG-FeII_Oxy	8	8
Rab_bind	8	8
CRAL_TRIO_N	8	8
DM	8	8
Phostensin	8	8
Myosin_TH1	8	8
LisH	8	8
Glyco_tran_10_N	8	8
PIP5K	8	8
AAA_23	8	8
Pcc1	8	8
LRAT	8	8
ATP1G1_PLM_MAT8	8	8
Thymosin	8	8
PI3K_C2	8	8
Piwi	8	8
ENTH	8	8
Peptidase_M13_N	8	8
LRRC37AB_C	8	8
Glyco_hydro_56	8	8
Amino_oxidase	8	8
CBM53	8	8
LEM	8	8
CBM_21	8	8
Atg8	8	8
APG12	8	8
Ca_chan_IQ	8	8
MH2	8	8
POM121	8	8
DUF3585	8	8
Sec1	8	8
SBF	8	8
NIF	8	8
Arm_3	8	8
CTP_transf_like	7	8
RNase_PH_C	7	8
LCCL	6	8
Cu-oxidase_2	6	8
DUSP	6	8
TPR_16	6	8
RBD	6	8
PQ-loop	5	8
SHIPPO-rpt	5	8
zf-C2HC_2	4	8
Glyco_hydro_1	4	8
SapB_1	3	8
Peptidase_S41	2	8
BRCA2	1	8
RNA_pol_Rpb1_R	1	8
La	7	7
zf-HIT	7	7
IRF-3	7	7
FAM72	7	7
FA_desaturase	7	7
DUF2358	7	7
Spy1	7	7
Tap-RNA_bind	7	7
STAT_bind	7	7
VCX_VCY	7	7
TAP_C	7	7
ACBP	7	7
ApoM	7	7
CitMHS	7	7
GF_recep_IV	7	7
DIX	7	7
NAD_binding_6	7	7
IPK	7	7
Peptidase_C48	7	7
WSD	7	7
MACPF	7	7
S8_pro-domain	7	7
L_HMGIC_fpl	7	7
MBDa	7	7
Inhibitor_I29	7	7
Ski_Sno	7	7
TFIIS_M	7	7
GAS2	7	7
tRNA_SAD	7	7
GDPD	7	7
zf-Nse	7	7
PET	7	7
SDF	7	7
Glyco_transf_7N	7	7
G6B	7	7
Bax1-I	7	7
Syndecan	7	7
Methyltr_RsmB-F	7	7
A1_Propeptide	7	7
Shisa	7	7
DUF4661	7	7
P_proprotein	7	7
Carn_acyltransf	7	7
Glyco_transf_8	7	7
Fringe	7	7
Dimer_Tnp_hAT	7	7
SLC12	7	7
TGF_beta_GS	7	7
NUT	7	7
OSR1_C	7	7
zf-CW	7	7
SPARC_Ca_bdg	7	7
DAGAT	7	7
FAD_binding_8	7	7
FAD_binding_1	7	7
14-3-3	7	7
Tropomodulin	7	7
Anoct_dimer	7	7
DUF3538	7	7
PLA2_B	7	7
SPOC	7	7
AlbA_2	7	7
E1_dh	7	7
Pribosyltran	7	7
Transketolase_C	7	7
tRNA-synt_2b	7	7
RII_binding_1	7	7
W2	7	7
Tektin	7	7
GTP_EFTU_D3	7	7
Nore1-SARAH	7	7
RNase_Zc3h12a	7	7
CobW_C	7	7
Rad51	7	7
Acetyltransf_10	7	7
Acetyltransf_16	7	7
SMC_hinge	7	7
GBP_C	7	7
rRNA_proc-arch	7	7
Glyco_hydro_47	7	7
ArgoL1	7	7
WHIM1	7	7
DSHCT	7	7
Lipoxygenase	7	7
STAT_int	7	7
Pyridoxal_deC	7	7
FMO-like	7	7
ICAM_N	7	7
P2X_receptor	7	7
Tcp11	7	7
PI3K_rbd	7	7
zf-Tim10_DDP	7	7
ELO	7	7
MBD_C	7	7
Glyco_hydro_18	7	7
PH_12	7	7
Toxin_1	7	7
Hydrolase_like	7	7
zf-MIZ	7	7
Cadherin_pro	7	7
Integrin_B_tail	7	7
SIR2	7	7
Sprouty	7	7
Sad1_UNC	7	7
zf-UBR	7	7
STAT_alpha	7	7
SAND	7	7
zf-U1	7	7
MA3	6	7
Gal_mutarotas_2	6	7
Thioredoxin_2	6	7
WSC	5	7
ATP-synt_C	5	7
PLDc	5	7
WHEP-TRS	5	7
BRK	5	7
BAG	4	7
POLO_box	4	7
OAS1_C	4	7
RHS_repeat	4	7
CLASP_N	4	7
C2-set	4	7
PAH	3	7
Titin_Z	1	7
OGFr_III	1	7
Granulin	1	7
IQ_SEC7_PH	6	6
Tctex-1	6	6
Integrin_b_cyt	6	6
CBX7_C	6	6
Dynamin_M	6	6
FRG2	6	6
ApoL	6	6
cobW	6	6
M20_dimer	6	6
Vps52	6	6
DcpS_C	6	6
DIL	6	6
PWI	6	6
CLTH	6	6
EF-hand_2	6	6
LON_substr_bdg	6	6
NAD_binding_4	6	6
RAI1	6	6
TB2_DP1_HVA22	6	6
Alpha_kinase	6	6
Na_trans_cytopl	6	6
MHC_I_2	6	6
MHC_I_3	6	6
FA_hydroxylase	6	6
Glypican	6	6
DUF3669	6	6
CP2	6	6
FGGY_N	6	6
AAA_30	6	6
Tudor-knot	6	6
DUF3398	6	6
SPR1	6	6
Vps4_C	6	6
FAST_1	6	6
FAST_2	6	6
zf-RING_9	6	6
RRM_5	6	6
SRF-TF	6	6
Troponin	6	6
FERM_f0	6	6
Peptidase_M16	6	6
Serinc	6	6
SPRR2	6	6
Kinesin_assoc	6	6
RIH_assoc	6	6
SEEK1	6	6
L6_membrane	6	6
Xpo1	6	6
Astacin	6	6
Myb_DNA-bind_5	6	6
Stk19	6	6
ATP-synt_ab	6	6
EF-hand_3	6	6
Sec23_trunk	6	6
DUF3504	6	6
Ins145_P3_rec	6	6
TLD	6	6
Brix	6	6
A_deaminase	6	6
MAPEG	6	6
Aminotran_5	6	6
DDE_Tnp_1_7	6	6
Sec23_helical	6	6
RAP	6	6
STG	6	6
FAD_binding_6	6	6
Tweety	6	6
AA_permease_C	6	6
CHGN	6	6
A_deamin	6	6
Frag1	6	6
Hormone_1	6	6
FtsJ	6	6
E2F_CC-MB	6	6
Iso_dh	6	6
Defensin_1	6	6
DUF1053	6	6
SFTA2	6	6
Tmemb_cc2	6	6
zf-C5HC2	6	6
DMRT-like	6	6
IL17	6	6
ATP-synt_ab_N	6	6
EpoR_lig-bind	6	6
Thiolase_N	6	6
Thiolase_C	6	6
MCM_N	6	6
HCR	6	6
PH_BEACH	6	6
DDHD	6	6
Keratin_matx	6	6
Sec23_BS	6	6
GED	6	6
DDT	6	6
Redoxin	6	6
DUF3694	6	6
ITI_HC_C	6	6
Defensin_propep	6	6
Alpha-amylase_C	6	6
PKD_channel	6	6
SWIRM	6	6
Abhydro_lipase	6	6
SCAMP	6	6
zf-Sec23_Sec24	6	6
RIIa	6	6
TRP_2	6	6
GAT	6	6
EFG_C	6	6
7TM_GPCR_Srx	6	6
7TM_GPCR_Srv	6	6
ELMO_CED12	6	6
BTG	6	6
PRELI	6	6
Tfb2	6	6
2OG-FeII_Oxy_2	6	6
SEFIR	6	6
SAC3_GANP	6	6
Laminin_II	6	6
Mg_trans_NIPA	6	6
FBA	6	6
RBD-FIP	6	6
DUF4749	6	6
DPPIV_N	6	6
FYRN	6	6
YTH	6	6
Nuc_sug_transp	6	6
Glyco_transf_22	6	6
Na_sulph_symp	6	6
XPG_N	6	6
Laminin_I	6	6
Vps5	6	6
DUF2476	6	6
SIX1_SD	6	6
ABC1	6	6
FYRC	6	6
Ca_hom_mod	6	6
Glyoxalase	5	6
I_LWEQ	5	6
dCMP_cyt_deam_1	5	6
HHH_3	5	6
PHR	5	6
NIPSNAP	4	6
CABIT	4	6
CARD_2	4	6
S1-like	4	6
Sec63	4	6
G8	4	6
zf-U11-48K	4	6
Amidase_2	4	6
MIB_HERC2	4	6
SOGA	3	6
TBP	3	6
Na_Pi_cotrans	3	6
Transferrin	3	6
MgtE	3	6
PFK	3	6
DUF1126	2	6
Peptidase_S41_N	2	6
DUF1388	1	6
