	genes	instances
TIG	27	77
RhoGEF	73	75
zf-CCCH	54	75
SRCR	20	75
UCH	73	73
zf-H2C2_5	42	72
UCH_1	71	71
adh_short	70	70
RhoGAP	70	70
MHC_I	70	70
TPR_12	40	69
Annexin	16	68
adh_short_C2	66	66
Bromodomain	47	66
p450	64	64
zf-met	35	64
Homeobox_KN	61	62
Kazal_2	47	62
Prok-RING_4	61	61
AAA_5	40	61
BACK	60	60
ResIII	58	60
HMG_box	50	60
EF-hand_8	48	60
Cadherin_3	5	60
SCAN	59	59
AAA	52	59
VWC	28	59
LRRNT	49	58
LRR_5	43	58
F-box	57	57
HMG_box_2	48	57
MORN	16	56
CBFD_NFYB_HMF	55	55
EF-hand_5	41	54
BTB_2	53	53
RabGAP-TBC	53	53
ABC_membrane	37	53
EGF_3	25	53
TAS2R	52	52
Hormone_recep	52	52
Y_phosphatase	40	52
Kazal_1	28	52
Cadherin_tail	51	51
F-box-like	51	51
Forkhead	51	51
MAGE	48	51
IL8	50	50
zf-C4	50	50
MHC_II_beta	50	50
Myb_DNA-binding	35	50
PSI	31	50
LRR_6	27	50
PX	49	49
7tm_2	49	49
ANAPC4_WD40	39	49
VWD	15	49
Kinesin	48	48
Thioredoxin	33	48
bZIP_2	47	47
TNFR_c6	23	47
Epiglycanin_TR	7	47
Microtub_bd	46	46
FHA	46	46
DnaJ	46	46
Neur_chan_LBD	46	46
FERM_M	46	46
Rad60-SLD	34	46
Gelsolin	14	46
SET	45	45
MHC_II_alpha	45	45
LRRC37	7	45
cNMP_binding	33	44
FG-GAP	20	44
TIL	11	44
C8	11	44
Neur_chan_memb	43	43
PMP22_Claudin	43	43
Kringle	16	43
SOCS_box	42	42
GAGE	42	42
NACHT	42	42
TPR_11	29	42
TB	7	42
UQ_con	41	41
Methyltransf_11	41	41
Reprolysin	41	41
ANF_receptor	41	41
RA	40	41
TPR_8	32	41
Sugar_tr	40	40
Myosin_head	40	40
bZIP_1	40	40
TGF_beta	40	40
Crystall	15	40
PYRIN	39	39
Pep_M12B_propep	39	39
UBA	31	39
Hydrolase	38	38
DSPc	38	38
Reprolysin_3	38	38
RGS	36	38
TPR_19	29	38
SEA	22	38
GoLoco	14	38
zf-FCS	6	38
Methyltransf_25	37	37
TNF	37	37
TUDOR	14	37
EPTP	7	37
Reprolysin_5	36	36
F5_F8_type_C	28	36
Pkinase_C	35	35
zf-RING_11	35	35
E1-E2_ATPase	35	35
zf-CCHC	20	35
dsrm	19	35
NHL	10	35
Sulfotransfer_1	34	34
Death	34	34
RasGEF	34	34
Tubulin	34	34
SNF2_N	34	34
ArfGap	34	34
Cyclin_N	34	34
Serpin	34	34
AMP-binding	31	34
Chromo	28	34
Notch	13	34
Calx-beta	9	34
Proteasome	33	33
Lipocalin	33	33
Tetraspannin	33	33
Tubulin_C	33	33
DUF1986	31	33
TPR_17	22	33
TPR_10	9	33
Cation_ATPase	32	32
Abhydrolase_1	32	32
CAMSAP_CH	32	32
G-patch	32	32
FERM_N	32	32
KR	32	32
MAGE_N	32	32
Sema	32	32
C1q	31	32
TPR_14	30	32
LRRCT	23	32
HEAT	18	32
Xin	2	32
Actin	31	31
Keratin_B2	31	31
Defensin_beta_2	31	31
FYVE	30	31
MARVEL	29	31
PLAT	19	31
MAM	18	31
GST_C	30	30
GPS	30	30
MBT	10	30
Ets	29	29
JmjC	29	29
Glycos_transf_2	29	29
Fibrinogen_C	29	29
7tm_3	29	29
Pro_isomerase	29	29
HECT	29	29
CARD	28	29
PDZ_2	27	29
Kunitz_BPTI	20	29
FKBP_C	18	29
BRCT	16	29
S_100	28	28
Metallophos	28	28
Claudin_2	28	28
PAS	26	28
PID	26	28
Rhodanese	26	28
zf-HC5HC2H	25	28
Guanylate_cyc	18	28
CBS	18	28
Thyroglobulin_1	17	28
zf-RanBP	17	28
GTF2I	7	28
Histone_H2A_C	27	27
HSP70	27	27
PAS_3	27	27
UDPGT	26	26
FERM_C	26	26
Peptidase_M14	24	26
GATA	18	26
PPAK	1	26
RasGEF_N	25	25
MHC_I_C	25	25
ADAM_spacer1	25	25
Exo_endo_phos	25	25
HRM	25	25
Fz	24	25
DEP	22	25
PWWP	22	25
UPAR_LY6	22	25
fn2	16	25
IBR	15	25
Clathrin	7	25
TSP_3	5	25
LSM	24	24
Peptidase_M10	24	24
FGF	24	24
HA2	24	24
Acetyltransf_1	24	24
DHHC	24	24
NTR	24	24
HEAT_2	23	24
GRAM	20	24
WAP	15	24
Xlink	14	24
Connexin	23	23
OB_NTP_bind	23	23
NUDIX	23	23
Acyltransferase	23	23
bZIP_Maf	23	23
MBOAT	23	23
Ricin_B_lectin	23	23
zf-C2HC	7	23
PKD	7	23
Filaggrin	1	23
Methyltransf_12	22	22
AA_permease	22	22
PG_binding_1	22	22
zf-HC5HC2H_2	22	22
zf-MYND	22	22
PH_11	22	22
Pou	22	22
RUN	20	22
HEAT_EZ	19	22
Gal-bind_lectin	16	22
Ephrin_rec_like	13	22
Ran_BP1	12	22
Prenyltrans	5	22
NAD_binding_8	21	21
zf-rbx1	21	21
GST_N_2	21	21
GST_N	21	21
FCH	21	21
PAP2	21	21
Disintegrin	21	21
SNF	21	21
IGFBP	21	21
Guanylate_kin	21	21
GST_C_2	21	21
PDEase_I	21	21
Involucrin	1	21
PAS_11	20	20
EMI	20	20
Galactosyl_T	20	20
SPAN-X	20	20
CRAL_TRIO_2	20	20
Cation_ATPase_N	20	20
AMP-binding_C	20	20
GTP_EFTU	20	20
Zip	20	20
SRPRB	20	20
Glyco_transf_29	20	20
Cystatin	17	20
FF	6	20
HMA	5	20
Cys_knot	19	19
Methyltransf_31	19	19
Keratin_2_head	19	19
CD20	19	19
MreB_Mbl	19	19
Integrin_alpha2	19	19
CRAL_TRIO	19	19
Med26	19	19
Cadherin_C	19	19
Cation_ATPase_C	19	19
ADAM_CR	19	19
PP2C	19	19
PI3_PI4_kinase	19	19
G-gamma	19	19
CD225	19	19
SAP	19	19
wnt	19	19
NPIP	19	19
ZZ	18	19
VWA_3	17	19
Kelch_5	14	19
BIR	9	19
TILa	5	19
Fasciclin	4	19
NAP	18	18
Sulfatase	18	18
SSXRD	18	18
Aldo_ket_red	18	18
TIR	18	18
GTP_EFTU_D2	18	18
TAF	18	18
Lig_chan	18	18
Lig_chan-Glu_bd	18	18
Aldedh	18	18
Clat_adaptor_s	18	18
Carb_anhydrase	18	18
Sec7	18	18
SBP_bac_3	18	18
LCE	17	18
LRR_9	16	18
VCBS	14	18
Trefoil	13	18
ABC2_membrane_3	12	18
CAP_GLY	11	18
Myb_DNA-bind_6	11	18
Na_Ca_ex	9	18
RPEL	8	18
Spin-Ssty	6	18
Clathrin_propel	3	18
Interferon	17	17
Aminotran_1_2	17	17
IRK	17	17
T-box	17	17
PCI	17	17
ADH_zinc_N	17	17
Cyclin_C	17	17
TMC	17	17
Trypsin_2	17	17
G-alpha	17	17
TGFb_propeptide	17	17
Aa_trans	17	17
ECH_1	17	17
Myotub-related	17	17
GPHH	17	17
COLFI	17	17
Interfer-bind	15	17
WWE	14	17
BEN	10	17
TPR_7	10	17
DCX	9	17
BEX	16	16
AAA_33	16	16
AAA_6	16	16
INT_SG_DDX_CT_C	16	16
A2M_N_2	16	16
zf-UBP	16	16
PARP	16	16
Glyco_transf_7C	16	16
A2M	16	16
IBN_N	16	16
RasGAP	16	16
TRAM_LAG1_CLN8	16	16
A2M_N	16	16
DENN	16	16
Laminin_G_3	16	16
A2M_comp	16	16
Band_7	16	16
ARID	16	16
PHD_2	16	16
A2M_recep	16	16
COesterase	16	16
DHC_N2	16	16
Laminin_N	16	16
Dynein_heavy	16	16
PLAC	16	16
Arm_2	16	16
WH2	14	16
APOBEC_N	12	16
Somatomedin_B	11	16
Transglut_C	9	16
PTCB-BRCT	9	16
zf-TRAF	7	16
PUF	2	16
K167R	1	16
Peptidase_C2	15	15
FH2	15	15
MT	15	15
BAR	15	15
Dynamin_N	15	15
dDENN	15	15
EphA2_TM	15	15
AAA_7	15	15
PA	15	15
Acyl-CoA_dh_M	15	15
Integrin_alpha	15	15
PH_9	15	15
Ephrin_lbd	15	15
uDENN	15	15
CAP	15	15
PNMA	15	15
tRNA-synt_1	15	15
OAR	15	15
TTL	15	15
Anticodon_1	15	15
AA_permease_2	15	15
Thiol-ester_cl	15	15
Myosin_N	15	15
PI-PLC-X	15	15
PI-PLC-Y	15	15
DAGK_cat	15	15
Na_H_Exchanger	15	15
CNH	15	15
Calpain_III	14	15
ANATO	13	15
Hist_deacetyl	13	15
zf-CXXC	13	15
EamA	12	15
APOBEC_C	11	15
KOW	11	15
ThiF	11	15
GDNF	6	15
PPTA	4	15
fn1	4	15
Tubulin-binding	4	15
Cys_rich_FGFR	1	15
Pre-SET	14	14
RnaseA	14	14
Septin	14	14
OTU	14	14
SNARE	14	14
Epimerase	14	14
AAA_9	14	14
AAA_8	14	14
PhoLip_ATPase_C	14	14
PhoLip_ATPase_N	14	14
Humanin	14	14
ELM2	14	14
G-patch_2	14	14
Cpn60_TCP1	14	14
SSF	14	14
Adaptin_N	14	14
Zona_pellucida	14	14
RNase_T	14	14
Peptidase_C14	14	14
Rpr2	14	14
Myosin_tail_1	14	14
PB1	14	14
ADH_N	14	14
Peptidase_C1	14	14
START	14	14
Cyt-b5	14	14
Gla	14	14
GST_C_3	14	14
Snf7	14	14
Tissue_fac	13	14
UIM	13	14
CarboxypepD_reg	12	14
Linker_histone	12	14
L27	10	14
NDK	10	14
Recep_L_domain	7	14
GAF	7	14
Hyd_WA	2	14
CIMR	1	14
CCDC144C	13	13
IRS	13	13
NAD_binding_1	13	13
NCD3G	13	13
IL6Ra-bind	13	13
Complex1_LYR	13	13
Globin	13	13
FA	13	13
JmjN	13	13
Sulfotransfer_2	13	13
S4	13	13
MIP	13	13
His_Phos_1	13	13
LBP_BPI_CETP	13	13
CT47	13	13
CS	13	13
SAM_PNT	13	13
OATP	13	13
TFIIS_C	13	13
Peptidase_M1	13	13
PAS_9	13	13
OLF	13	13
JAB	13	13
HTH_Tnp_Tc5	13	13
RAWUL	13	13
Reprolysin_2	13	13
ZU5	12	13
E2F_TDP	11	13
EF-hand_4	10	13
Macro	9	13
zf-BED	9	13
CUT	7	13
PAN_1	7	13
Sel1	5	13
DDE_1	12	12
Oxysterol_BP	12	12
Adap_comp_sub	12	12
THAP	12	12
Abhydrolase_6	12	12
TIR_2	12	12
UBA_4	12	12
Acyl-CoA_dh_1	12	12
AAA_18	12	12
ANAPC3	12	12
Frizzled	12	12
Sterol-sensing	12	12
MutS_V	12	12
UBX	12	12
Arrestin_N	12	12
Nop	12	12
Ferric_reduct	12	12
Metallothio	12	12
WH1	12	12
GST_N_3	12	12
PTB	12	12
RINGv	12	12
HATPase_c	12	12
KRTAP	12	12
HSP20	12	12
EF-hand_like	12	12
PBD	12	12
Cnd1	12	12
Cir_N	12	12
Ribosomal_L7Ae	12	12
MH1	12	12
HATPase_c_3	12	12
BAR_3	12	12
Thioredoxin_6	12	12
Glutaredoxin	11	12
AAA_12	11	12
PAM2	11	12
PSI_integrin	11	12
Pro-rich	11	12
BAH	10	12
Cofilin_ADF	10	12
AAA_17	10	12
MIT	10	12
Phospholip_A2_1	10	12
Biotin_lipoyl	10	12
MIF4G	10	12
zf-A20	8	12
S1	8	12
CSD	8	12
Glyco_hydro_31	8	12
Laminin_B	8	12
C4	6	12
Calponin	6	12
HR1	6	12
RYDR_ITPR	6	12
Fascin	5	12
RyR	3	12
Hairy_orange	11	11
Asp	11	11
F420_oxidored	11	11
Choline_transpo	11	11
HSF_DNA-bind	11	11
CENP-B_N	11	11
STAS	11	11
Acyl-CoA_dh_N	11	11
Acyl-CoA_dh_2	11	11
AAA_11	11	11
BNR_2	11	11
GBP	11	11
Bcl-2	11	11
Sulfotransfer_3	11	11
VPS9	11	11
DUF4599	11	11
Sulfate_transp	11	11
EMP24_GP25L	11	11
DHR-2	11	11
Transglut_core	11	11
NTF2	11	11
tRNA_int_endo	11	11
Arrestin_C	11	11
Methyltransf_23	11	11
2OG-FeII_Oxy_3	11	11
Ribosomal_S4	11	11
R3H	11	11
HlyIII	11	11
Lys	11	11
NTP_transf_2	11	11
Syntaxin	11	11
GRIP	11	11
DOCK-C2	11	11
Pyr_redox_2	11	11
Plexin_cytopl	11	11
PLDc_2	9	11
MyTH4	8	11
ADK	8	11
zf-AN1	8	11
FAM47	6	11
Beta_helix	6	11
SapB_2	5	11
Mucin2_WxxW	5	11
Neuralized	4	11
Serum_albumin	4	11
APC_r	2	11
zf-NF-X1	2	11
HS1_rep	2	11
