	sim_dom1	sim_dom2	prob1	pval1	score1	aligned_cols1	ident_perc1	prob2	pval2	score2	aligned_cols2	ident_perc2	score_norm1	score_norm2
29	Guanylate_kin	ATP-synt_ab	96.49	4.9e-09	47.82	26	38	96.5	4.6e-09	48.57	26	38	1.8392307692307692	1.8680769230769232
30	Guanylate_kin	ArgK	95.43	6.8e-08	43.81	25	40	95.79	2.7e-08	47.24	25	40	1.7524000000000002	1.8896000000000002
31	Guanylate_kin	Thymidylate_kin	98.91	1.8e-15	77.26	22	36	99.01	4.3e-16	78.42	22	36	3.511818181818182	3.5645454545454545
32	Guanylate_kin	SRP54	96.29	7.8e-09	45.79	26	46	96.63	2.3e-09	47.42	26	46	1.761153846153846	1.823846153846154
33	Guanylate_kin	Helicase_RecD	95.1	9e-08	39.05	22	36	95.94	1.6e-08	40.19	22	36	1.775	1.8268181818181817
34	Guanylate_kin	PRK	98.72	1.5e-14	75.23	24	29	98.49	1.5e-13	74.32	24	29	3.1345833333333335	3.0966666666666662
35	Guanylate_kin	AAA_22	96.58	3.9e-09	43.55	25	20	97.39	1e-10	45.35	25	20	1.742	1.814
36	Guanylate_kin	AAA_23	95.96	2.1e-08	45.68	24	29	95.46	6.2e-08	46.44	24	29	1.9033333333333333	1.9349999999999998
37	Guanylate_kin	AAA_21	96.08	1.2e-08	47.55	19	32	96.03	1.4e-08	47.22	19	32	2.5026315789473683	2.4852631578947366
38	Guanylate_kin	AAA_25	96.11	1.6e-08	44.12	25	32	96.47	5.2e-09	45.75	25	32	1.7648	1.83
39	Guanylate_kin	AIG1	95.71	3.7e-08	43.86	23	35	95.9	2.2000000000000002e-08	46.43	23	35	1.9069565217391304	2.0186956521739132
40	Guanylate_kin	TK	96.52	4.0999999999999995e-09	46.65	26	38	96.57	3.3e-09	47.55	25	40	1.794230769230769	1.902
41	Guanylate_kin	ArsA_ATPase	93.0	1.2e-06	39.01	25	24	92.39	1.6e-06	42.05	25	24	1.5604	1.682
42	Guanylate_kin	6PF2K	98.66	1.1e-14	75.98	27	26	98.62	1.2e-14	78.25	28	25	2.814074074074074	2.794642857142857
43	Guanylate_kin	KTI12	98.97	7.3e-16	84.83	26	38	98.64	3.5e-14	83.18	26	38	3.2626923076923076	3.1992307692307693
44	Guanylate_kin	AAA_30	95.78	3.5e-08	44.03	22	27	95.62	4.7000000000000004e-08	45.49	22	27	2.0013636363636365	2.067727272727273
45	Guanylate_kin	cobW	96.29	7.8e-09	44.62	22	36	97.03	4.6e-10	46.7	22	36	2.028181818181818	2.122727272727273
46	Guanylate_kin	ParA	93.56	7.9e-07	38.08	27	33	93.17	1e-06	38.75	27	33	1.4103703703703703	1.4351851851851851
47	Guanylate_kin	ATP_bind_1	95.46	4.0999999999999997e-08	44.63	20	30	94.97	9.5e-08	44.63	20	30	2.2315	2.2315
48	Guanylate_kin	PIF1	95.64	4.2e-08	47.02	26	31	95.35	7e-08	48.74	26	31	1.8084615384615386	1.8746153846153848
49	Guanylate_kin	AAA_2	96.12	1.7e-08	43.46	25	32	96.53	4.4e-09	44.87	25	32	1.7384	1.7948
50	Guanylate_kin	Rad51	95.88	2.7e-08	45.48	25	24	95.89	2.6e-08	46.66	25	24	1.8192	1.8663999999999998
51	Guanylate_kin	NB-ARC	96.06	1.3e-08	47.71	25	24	96.19	8.5e-09	48.95	25	24	1.9084	1.9580000000000002
52	Guanylate_kin	CLP1_P	94.69	1.6e-07	39.66	19	26	94.62	1.7e-07	41.14	19	26	2.0873684210526315	2.165263157894737
53	Guanylate_kin	MCM	96.37	6.9e-09	50.17	25	40	96.14	1.3e-08	50.77	26	38	2.0068	1.9526923076923077
54	Guanylate_kin	dNK	99.03	6.5e-16	80.9	23	43	99.07	3.3e-16	82.71	23	43	3.5173913043478264	3.596086956521739
55	Guanylate_kin	AAA_19	95.96	3e-08	40.01	24	33	96.65	3.5e-09	41.28	25	36	1.6670833333333333	1.6512
56	Guanylate_kin	TIP49	95.86	3.1e-08	49.01	26	31	94.69	2.2e-07	51.3	26	31	1.885	1.973076923076923
57	Guanylate_kin	APS_kinase	98.25	7.4e-13	63.46	27	30	98.35	3.2e-13	64.82	27	30	2.35037037037037	2.4007407407407406
58	Guanylate_kin	AAA_16	96.37	6.6e-09	45.39	25	36	97.0	5.599999999999999e-10	46.85	25	36	1.8156	1.874
59	SMC_N	IIGP	63.91	0.00014	45.65	21	33	72.76	7.099999999999999e-05	45.0	21	33	2.1738095238095236	2.142857142857143
60	SMC_N	ATP-synt_ab	84.03	2.8999999999999997e-05	45.99	28	21	91.64	4.2999999999999995e-06	45.0	28	21	1.6425	1.6071428571428572
61	SMC_N	ArgK	55.67	0.00033	39.51	25	36	73.94	0.0001	38.67	25	36	1.5804	1.5468000000000002
62	SMC_N	Thymidylate_kin	81.76	2e-05	45.55	22	27	91.69	1.8000000000000001e-06	44.36	22	27	2.0704545454545453	2.016363636363636
63	SMC_N	SRP54	69.4	0.00014	39.61	25	20	85.61	2.7000000000000002e-05	38.07	25	20	1.5844	1.5228
64	SMC_N	G-alpha	56.4	0.00027	42.32	24	25	71.39	9.8e-05	42.96	24	25	1.7633333333333334	1.79
65	SMC_N	SRPRB	69.48	0.0001	41.13	20	40	82.57	2.7000000000000002e-05	40.24	20	40	2.0565	2.012
66	SMC_N	GTP_EFTU	59.72	0.00022	41.66	25	28	68.09	0.00013000000000000002	40.62	25	28	1.6663999999999999	1.6247999999999998
67	SMC_N	Helicase_RecD	62.31	0.00015	37.56	22	32	85.99	1.4000000000000001e-05	36.69	22	32	1.7072727272727273	1.6677272727272727
68	SMC_N	PRK	90.08	4.2000000000000004e-06	52.56	24	25	93.98	4.5e-07	53.22	24	25	2.19	2.2175
69	SMC_N	AAA_23	98.97	1.2e-15	127.36	49	24	99.23	2.8999999999999997e-17	124.05	49	24	2.599183673469388	2.5316326530612243
70	SMC_N	AAA_25	83.01	2.9999999999999997e-05	44.59	26	27	92.18	2.8999999999999998e-06	43.64	26	27	1.715	1.6784615384615384
71	SMC_N	AIG1	72.03	7.900000000000001e-05	42.98	19	37	84.99	1.8e-05	42.3	19	37	2.2621052631578946	2.2263157894736842
72	SMC_N	TK	84.14	2.5e-05	44.67	25	32	90.95	5.0999999999999995e-06	42.75	25	32	1.7868000000000002	1.71
73	SMC_N	ADK	68.75	8.7e-05	41.02	21	24	84.89	1.4999999999999999e-05	39.68	21	24	1.9533333333333336	1.8895238095238096
74	SMC_N	KTI12	74.51	8.2e-05	44.79	25	28	80.57	4.4e-05	43.32	25	28	1.7915999999999999	1.7328000000000001
75	SMC_N	AAA_30	67.51	0.00014	41.0	23	35	80.79	4.3e-05	40.42	23	35	1.7826086956521738	1.7573913043478262
76	SMC_N	AAA_33	85.54	1.6e-05	43.76	24	29	94.03	5.9e-07	42.26	24	29	1.8233333333333333	1.7608333333333333
77	SMC_N	Ras	73.69	7.099999999999999e-05	40.32	20	30	91.29	3.4e-06	39.92	20	30	2.016	1.996
78	SMC_N	CoaE	84.58	1.9e-05	46.01	25	24	91.05	3.9e-06	43.94	25	24	1.8403999999999998	1.7575999999999998
79	SMC_N	cobW	76.88	5.5e-05	41.58	21	33	90.88	4.7e-06	39.37	20	35	1.98	1.9685
80	SMC_N	AAA	81.72	3.3e-05	40.5	22	27	93.57	1.1e-06	39.33	22	27	1.8409090909090908	1.7877272727272726
81	SMC_N	ATP_bind_1	70.53	7.2e-05	44.41	22	27	88.73	5.3e-06	47.26	22	27	2.0186363636363636	2.148181818181818
82	SMC_N	GBP	62.95	0.00018	41.9	22	32	74.58	7.7e-05	41.65	22	32	1.9045454545454545	1.893181818181818
83	SMC_N	SKI	44.43	0.00047999999999999996	34.11	17	24	68.04	0.00011999999999999999	32.74	17	24	2.006470588235294	1.9258823529411766
84	SMC_N	PIF1	64.05	0.00018999999999999998	43.92	28	21	77.85	6.4e-05	43.41	28	21	1.5685714285714287	1.5503571428571428
85	SMC_N	AAA_8	76.41	5.5e-05	45.99	30	23	86.27	1.7e-05	44.66	29	24	1.5330000000000001	1.5399999999999998
86	SMC_N	AAA_2	70.43	0.00013000000000000002	39.1	25	32	87.96	1.6e-05	38.33	24	33	1.564	1.5970833333333332
87	SMC_N	AAA_7	75.39	6.2e-05	45.34	27	26	87.44	1.2e-05	43.74	26	27	1.6792592592592595	1.6823076923076923
88	SMC_N	AAA_6	74.0	6.7e-05	43.88	25	28	86.17	1.4999999999999999e-05	42.41	25	28	1.7552	1.6964
89	SMC_N	AAA_5	74.29	7.5e-05	40.0	21	24	88.97	9.3e-06	38.43	21	24	1.9047619047619047	1.83
90	SMC_N	ABC_tran	90.42	5.7000000000000005e-06	47.55	33	24	94.11	9.000000000000001e-07	42.32	33	24	1.440909090909091	1.2824242424242425
91	SMC_N	Rad51	78.3	5.6000000000000006e-05	45.32	28	25	88.77	1.1e-05	44.46	28	25	1.6185714285714285	1.5878571428571429
92	SMC_N	Dynamin_N	81.93	2.4e-05	45.67	21	33	90.94	3.1e-06	44.54	21	33	2.1747619047619047	2.1209523809523807
93	SMC_N	Arf	65.36	0.00014	39.12	21	24	87.44	1.2e-05	38.86	21	24	1.8628571428571428	1.8504761904761904
94	SMC_N	CLP1_P	60.75	0.00018999999999999998	38.76	21	24	75.3	6.6e-05	37.83	20	25	1.8457142857142856	1.8915
95	SMC_N	MMR_HSR1	83.12	2.3e-05	40.43	20	35	93.26	1.1e-06	39.27	20	35	2.0215	1.9635000000000002
96	SMC_N	MCM	69.15	0.00011999999999999999	44.53	25	24	81.54	3.9e-05	43.21	25	24	1.7812000000000001	1.7284
97	SMC_N	Roc	64.85	0.00016	34.99	20	30	84.19	2.8999999999999997e-05	31.96	20	30	1.7495	1.598
98	SMC_N	dNK	83.06	2.4e-05	46.09	23	48	91.16	3.6000000000000003e-06	44.64	23	48	2.003913043478261	1.9408695652173913
99	SMC_N	AAA_19	82.3	3.6e-05	40.63	27	26	93.1	2.1000000000000002e-06	39.31	26	27	1.5048148148148148	1.511923076923077
100	SMC_N	AAA_18	83.66	1.9e-05	45.47	23	35	91.97	2.1000000000000002e-06	44.17	23	35	1.9769565217391303	1.9204347826086958
101	SMC_N	TIP49	61.36	0.00023999999999999998	43.77	25	24	63.08	0.00021	43.88	25	24	1.7508000000000001	1.7552
102	SMC_N	AAA_11	59.37	0.00027	38.68	23	26	83.04	3.7e-05	39.24	23	26	1.6817391304347826	1.7060869565217391
103	SMC_N	APS_kinase	75.18	8.4e-05	39.91	25	28	88.91	1.1e-05	39.44	24	29	1.5963999999999998	1.6433333333333333
104	SMC_N	AAA_16	84.81	2.1e-05	45.27	26	27	93.8	9.000000000000001e-07	43.68	26	27	1.7411538461538463	1.68
105	DEAD	Thymidylate_kin	90.92	3.9e-06	28.91	18	28	90.15	4.9000000000000005e-06	30.09	18	28	1.606111111111111	1.6716666666666666
106	DEAD	SRP54	92.86	1.6e-05	26.6	23	26	92.75	4.8e-06	30.43	25	28	1.1565217391304348	1.2172
107	DEAD	AAA_25	95.32	1.9e-06	30.42	23	35	95.11	3.2e-06	31.18	23	35	1.322608695652174	1.3556521739130434
108	DEAD	ArsA_ATPase	88.85	2.8000000000000003e-05	28.51	33	24	77.84	0.00013000000000000002	29.25	33	24	0.863939393939394	0.8863636363636364
109	DEAD	AAA_30	98.11	4.1e-11	51.62	35	26	97.45	1.6e-09	51.18	35	26	1.4748571428571429	1.4622857142857142
110	DEAD	cobW	87.03	2.1e-05	25.25	19	21	90.02	8.900000000000001e-06	27.0	19	21	1.3289473684210527	1.4210526315789473
111	DEAD	SKI	79.68	5.4000000000000005e-05	23.4	13	31	77.45	6.500000000000001e-05	24.09	14	29	1.7999999999999998	1.7207142857142856
112	DEAD	AAA_2	96.95	4.0999999999999997e-08	36.91	23	26	96.67	1.2e-07	36.8	23	26	1.604782608695652	1.5999999999999999
113	DEAD	Rad51	94.3	7.6e-06	29.58	25	20	89.8	1.9e-05	30.39	25	20	1.1832	1.2156
114	DEAD	dNK	92.7	2.2e-06	30.64	19	32	91.89	3.1e-06	32.42	20	30	1.6126315789473684	1.621
115	DEAD	AAA_19	98.32	9.6e-12	49.58	50	20	98.34	7e-12	50.76	50	20	0.9915999999999999	1.0151999999999999
116	ArgK	ATP-synt_ab	93.34	1.9e-06	38.42	27	26	92.32	4.1e-06	36.01	26	27	1.422962962962963	1.385
117	ArgK	Thymidylate_kin	94.17	5.9e-07	39.84	21	38	94.19	6.4e-07	37.77	22	36	1.8971428571428572	1.716818181818182
118	ArgK	SRP54	98.59	1.2e-12	70.42	38	26	98.6	1.6999999999999998e-12	65.74	39	26	1.8531578947368421	1.6856410256410255
119	ArgK	SRPRB	98.29	2.6000000000000002e-12	68.9	22	27	98.26	3.3999999999999996e-12	68.53	23	26	3.1318181818181823	2.9795652173913045
120	ArgK	GTP_EFTU	99.08	6.7e-16	93.46	61	25	98.87	1.1e-14	92.61	61	25	1.5321311475409836	1.5181967213114753
121	ArgK	Helicase_RecD	90.52	8.3e-06	32.65	23	26	92.04	5e-06	31.22	23	26	1.4195652173913043	1.357391304347826
122	ArgK	PRK	95.94	4.8e-08	47.27	30	33	95.5	1.3e-07	45.82	30	33	1.5756666666666668	1.5273333333333334
123	ArgK	AAA_22	95.5	2.7e-07	38.48	28	29	96.39	4.3e-08	37.1	26	27	1.374285714285714	1.426923076923077
124	ArgK	AAA_23	92.64	2.2e-06	38.97	25	32	91.46	4.1e-06	38.91	25	32	1.5588	1.5563999999999998
125	ArgK	AAA_21	91.03	2.8999999999999998e-06	38.95	19	42	91.15	2.8e-06	37.85	18	44	2.0500000000000003	2.102777777777778
126	ArgK	AAA_25	94.21	1.2e-06	38.47	26	23	94.45	1e-06	37.19	26	23	1.4796153846153846	1.4303846153846154
127	ArgK	TK	95.37	2.6e-07	41.53	34	21	95.15	5.3e-07	39.16	35	20	1.221470588235294	1.1188571428571428
128	ArgK	ArsA_ATPase	97.96	5.7e-10	61.43	37	30	97.55	5.1e-09	60.15	37	30	1.6602702702702703	1.6256756756756756
129	ArgK	6PF2K	95.54	1.3e-07	45.05	28	25	95.13	2.9e-07	42.99	28	25	1.6089285714285713	1.5353571428571429
130	ArgK	ADK	92.17	1.4e-06	38.02	20	40	91.38	2.3e-06	35.61	19	37	1.9010000000000002	1.8742105263157895
131	ArgK	KTI12	97.1	8.1e-08	48.12	35	26	96.3	1.5e-06	42.93	35	26	1.3748571428571428	1.2265714285714286
132	ArgK	MutS_V	87.74	1.1e-05	33.3	21	38	90.12	5.7999999999999995e-06	33.29	21	38	1.5857142857142856	1.5852380952380951
133	ArgK	AAA_30	89.94	1.4999999999999999e-05	34.01	19	42	88.44	2.4e-05	33.39	19	42	1.7899999999999998	1.7573684210526317
134	ArgK	CoaE	95.12	1.8e-07	42.83	23	43	95.1	1.9e-07	41.81	23	43	1.8621739130434782	1.817826086956522
135	ArgK	AAA	93.72	1.4e-06	34.94	22	23	95.03	4.1e-07	33.42	22	23	1.5881818181818181	1.5190909090909093
136	ArgK	ParA	98.46	2e-12	72.56	42	36	98.46	1.8000000000000002e-12	73.1	42	36	1.7276190476190476	1.7404761904761903
137	ArgK	CTP_synth_N	79.32	0.00015	30.21	37	30	73.72	0.0002	32.1	38	29	0.8164864864864865	0.8447368421052632
138	ArgK	GBP	96.9	9.7e-09	53.07	29	24	96.53	3.5e-08	52.63	28	25	1.83	1.8796428571428572
139	ArgK	SKI	87.62	9.9e-06	32.45	16	50	87.55	1.1e-05	30.68	16	50	2.028125	1.9175
140	ArgK	PIF1	93.47	2.3e-06	41.57	36	36	92.28	6.900000000000001e-06	39.92	36	36	1.1547222222222222	1.108888888888889
141	ArgK	AAA_8	94.03	2.3e-06	39.7	26	27	93.32	4.2999999999999995e-06	38.78	26	27	1.526923076923077	1.4915384615384615
142	ArgK	AAA_2	94.45	9.000000000000001e-07	38.52	34	24	94.68	8e-07	36.68	27	26	1.1329411764705883	1.3585185185185185
143	ArgK	AAA_7	94.95	3.2e-07	44.15	29	34	94.63	5.6e-07	41.75	29	34	1.5224137931034483	1.4396551724137931
144	ArgK	AAA_6	94.53	7.5e-07	41.18	27	26	94.31	1e-06	39.73	33	21	1.5251851851851852	1.2039393939393939
145	ArgK	ABC_tran	80.11	5.9999999999999995e-05	27.92	24	38	75.12	0.00013000000000000002	24.39	24	38	1.1633333333333333	1.01625
146	ArgK	Dynamin_N	98.01	2.0000000000000002e-11	64.05	20	35	98.12	1.0000000000000001e-11	63.56	20	35	3.2024999999999997	3.178
147	ArgK	CLP1_P	97.89	5.4e-11	61.51	36	28	97.81	9.4e-11	60.9	36	28	1.708611111111111	1.6916666666666667
148	ArgK	MMR_HSR1	97.6	5.5e-10	50.7	21	29	98.07	4.2e-11	50.33	21	29	2.4142857142857146	2.3966666666666665
149	ArgK	MCM	92.28	2.4e-06	40.65	25	24	89.79	7.400000000000001e-06	38.16	26	23	1.626	1.4676923076923076
150	ArgK	dNK	94.95	1.5e-07	43.99	22	32	94.72	2.2e-07	41.95	22	32	1.9995454545454547	1.906818181818182
151	ArgK	AAA_19	94.26	1.5e-06	35.2	29	31	95.17	6.5e-07	33.77	29	31	1.213793103448276	1.1644827586206898
152	ArgK	AAA_18	94.8	1.4e-07	42.86	22	45	94.8	1.5e-07	41.06	22	45	1.9481818181818182	1.8663636363636364
153	ArgK	TIP49	92.1	5e-06	40.74	27	22	85.1	3.7e-05	39.48	27	22	1.508888888888889	1.462222222222222
154	ArgK	AAA_11	93.0	6e-06	35.9	33	30	92.8	4.5e-06	35.73	32	28	1.087878787878788	1.1165625
155	ArgK	APS_kinase	95.51	1.7e-07	41.8	36	42	95.7	1.2e-07	41.1	36	42	1.161111111111111	1.1416666666666666
156	ArgK	AAA_16	95.55	3.6e-07	40.65	26	35	96.26	9e-08	39.59	26	35	1.5634615384615385	1.5226923076923078
157	PRK	IIGP	93.24	8.7e-07	44.02	21	48	93.06	9.4e-07	45.72	21	48	2.0961904761904764	2.177142857142857
158	PRK	ATP-synt_ab	95.24	8.9e-08	45.01	23	26	95.79	3.1e-08	45.73	23	26	1.9569565217391303	1.9882608695652173
159	PRK	SRP54	96.02	4e-08	45.79	31	32	96.64	5.8e-09	46.78	26	35	1.4770967741935483	1.7992307692307692
160	PRK	G-alpha	93.49	8.7e-07	43.37	23	26	93.85	5.8e-07	46.1	23	26	1.8856521739130434	2.0043478260869567
161	PRK	SRPRB	94.54	2.6e-07	42.07	21	24	95.41	6.099999999999999e-08	44.69	21	24	2.0033333333333334	2.128095238095238
162	PRK	AAA_22	96.1	3.7999999999999996e-08	42.17	24	21	97.17	8.599999999999999e-10	42.85	24	21	1.7570833333333333	1.7854166666666667
163	PRK	AAA_21	96.15	8.5e-09	52.13	19	21	96.3	7.3e-09	49.87	20	20	2.743684210526316	2.4935
164	PRK	AAA_25	95.58	9.8e-08	43.63	24	21	96.23	2e-08	44.17	24	21	1.8179166666666668	1.8404166666666668
165	PRK	Microtub_bd	51.77	0.00029	25.79	15	27	47.13	0.00037999999999999997	25.33	15	27	1.7193333333333334	1.6886666666666665
166	PRK	AIG1	94.36	3.3e-07	42.37	21	29	95.16	8.800000000000001e-08	44.61	21	29	2.0176190476190476	2.124285714285714
167	PRK	TK	96.26	1.8999999999999998e-08	47.09	25	24	96.52	8.7e-09	46.83	25	24	1.8836000000000002	1.8732
168	PRK	ArsA_ATPase	94.26	8.7e-07	42.99	36	25	94.5	5.7e-07	46.1	38	24	1.1941666666666668	1.2131578947368422
169	PRK	ResIII	95.72	1.1e-07	40.7	23	22	96.93	2.6e-09	41.55	23	22	1.7695652173913046	1.8065217391304347
170	PRK	Myosin_head	91.77	2.8e-06	45.16	23	30	91.42	2.7000000000000004e-06	50.28	24	29	1.9634782608695651	2.095
171	PRK	MutS_V	95.22	8.800000000000001e-08	43.83	23	30	95.97	1.8e-08	44.17	23	30	1.9056521739130434	1.9204347826086958
172	PRK	AAA_30	94.44	3.9e-07	42.07	23	26	95.02	1.7e-07	43.92	23	26	1.8291304347826087	1.9095652173913045
173	PRK	AAA_33	97.9	2.5e-11	59.01	24	21	98.51	2.4e-13	60.14	24	21	2.4587499999999998	2.5058333333333334
174	PRK	cobW	95.64	7.8e-08	43.0	21	29	96.75	3.2e-09	44.19	21	29	2.0476190476190474	2.104285714285714
175	PRK	ParA	94.56	6.9e-07	41.48	36	28	94.86	4.2e-07	42.01	36	25	1.152222222222222	1.1669444444444443
176	PRK	PIF1	94.57	5.4e-07	44.53	25	24	95.02	2.3e-07	47.05	26	23	1.7812000000000001	1.8096153846153844
177	PRK	ABC_tran	93.0	1.1e-06	36.36	24	25	92.24	1.7e-06	31.83	23	26	1.515	1.3839130434782607
178	PRK	NB-ARC	94.9	1.2e-07	46.09	24	21	95.51	3.9e-08	46.75	24	21	1.9204166666666669	1.9479166666666667
179	PRK	Dynamin_N	95.2	7.7e-08	44.54	22	27	95.89	1.5e-08	46.04	22	27	2.0245454545454544	2.0927272727272728
180	PRK	Arf	93.96	5.5e-07	39.27	21	24	95.84	2.8999999999999998e-08	41.94	21	24	1.87	1.997142857142857
181	PRK	MCM	94.48	2.6e-07	45.39	23	22	94.86	1.5e-07	46.2	24	25	1.9734782608695653	1.925
182	PRK	Roc	92.84	1.6e-06	33.76	21	24	94.79	2.6e-07	32.87	21	24	1.6076190476190475	1.565238095238095
183	PRK	dNK	98.34	1.1e-13	75.81	23	35	98.49	2.2e-14	75.51	23	35	3.2960869565217394	3.2830434782608697
184	PRK	AAA_19	95.24	2.8e-07	38.41	23	26	96.33	2.2999999999999998e-08	38.97	23	26	1.67	1.6943478260869564
185	PRK	AAA_18	98.22	5.7e-13	70.39	23	22	98.47	6.7e-14	70.27	23	22	3.0604347826086955	3.0552173913043474
186	PRK	AAA_11	93.98	1.1e-06	39.42	22	23	95.05	2.5e-07	40.94	21	24	1.791818181818182	1.9495238095238094
187	PRK	APS_kinase	97.65	7.4e-11	58.55	26	31	97.99	9.300000000000001e-12	59.56	27	33	2.251923076923077	2.205925925925926
188	PRK	AAA_16	96.13	2.6e-08	45.83	25	32	97.02	1.2e-09	46.59	25	32	1.8332	1.8636000000000001
189	Sulfotransfer_3	TK	43.25	0.0008900000000000001	22.06	20	25	50.3	0.00059	22.89	20	25	1.103	1.1445
190	Sulfotransfer_3	6PF2K	57.21	0.00036	25.18	20	30	63.98	0.00022	26.51	20	30	1.259	1.3255000000000001
191	Sulfotransfer_3	KTI12	56.87	0.00035	26.54	21	29	58.99	0.00026000000000000003	28.56	21	29	1.2638095238095237	1.3599999999999999
192	Sulfotransfer_3	dNK	52.74	0.00042	24.29	21	29	67.6	0.00015	26.3	21	29	1.1566666666666667	1.2523809523809524
193	KTI12	IIGP	91.2	3.5000000000000004e-06	43.52	22	27	92.25	1.9e-06	45.88	22	27	1.9781818181818183	2.0854545454545454
194	KTI12	SRP54	96.04	2.8999999999999998e-08	49.83	38	32	96.84	2.0999999999999998e-09	50.92	37	32	1.3113157894736842	1.3762162162162164
195	KTI12	G-alpha	91.59	3e-06	43.24	23	30	92.7	1.5e-06	45.62	24	29	1.8800000000000001	1.9008333333333332
196	KTI12	SRPRB	94.35	3.9e-07	44.09	23	39	95.5	6.6e-08	46.46	23	39	1.9169565217391307	2.02
197	KTI12	GTP_EFTU	92.2	2.3e-06	42.72	26	27	93.45	9.1e-07	45.58	26	27	1.643076923076923	1.753076923076923
198	KTI12	AAA_21	93.64	5.4e-07	45.34	19	21	94.72	1.7e-07	44.76	20	20	2.3863157894736844	2.238
