	sim_dom1	sim_dom2	prob1	pval1	score1	aligned_cols1	ident_perc1	prob2	pval2	score2	aligned_cols2	ident_perc2
23	2OG-FeII_Oxy_2	Asp_Arg_Hydrox	62.51	0.0017	23.90	67	7	66.20	0.0014	24.07	67	7
24	2OG-FeII_Oxy_2	3-HAO	0.50	0.21	11.20	17	12	1.08	0.12	12.62	18	11
25	2OG-FeII_Oxy_3	FTO_NTD	36.74	0.0038	19.80	37	8	21.85	0.0093	19.27	36	8
26	2OG-FeII_Oxy_3	2OG-FeII_Oxy_4	99.52	2.5e-20	85.05	82	24	99.52	2.8e-20	84.19	82	24
27	2OG-FeII_Oxy_3	PhyH	95.25	1.2e-06	32.72	69	14	94.06	4.5e-06	30.99	69	14
28	2OG-FeII_Oxy_3	TauD	51.96	0.0008	21.64	32	16	32.63	0.0022	20.39	31	16
29	2OG-FeII_Oxy_3	Cupin_4	19.58	0.0079	17.58	18	28	9.10	0.019	16.34	17	24
30	2OG-FeII_Oxy_3	2OG-FeII_Oxy	79.08	0.00018	20.24	20	10	85.33	8.6e-05	21.38	20	10
31	2OG-FeII_Oxy_3	Cupin_8	50.68	0.0014	20.81	34	15	33.07	0.0031	20.31	34	15
32	2OG-FeII_Oxy_3	Pirin	21.35	0.0042	15.09	15	7	20.80	0.0043	15.05	15	7
33	2OG-FeII_Oxy_3	ARD	5.53	0.021	13.52	14	14	6.51	0.018	13.96	15	13
34	2OG-FeII_Oxy_3	HgmA	0.39	0.28	11.46	11	9	1.05	0.14	13.25	12	8
35	2OG-FeII_Oxy_3	PMI_typeI	2.28	0.056	14.25	13	8	0.93	0.13	12.34	12	8
36	2OG-FeII_Oxy_3	Asp_Arg_Hydrox	92.97	1.7e-05	27.28	37	11	91.98	3.4e-05	27.65	33	12
37	2OG-FeII_Oxy_3	3-HAO	0.50	0.15	9.41	14	7	1.39	0.066	11.01	14	7
38	2OG-FeII_Oxy_4	FTO_NTD	79.32	0.0004	24.25	34	15	70.85	0.00055	26.19	34	15
39	2OG-FeII_Oxy_4	JmjN	0.07	0.67	3.81	1	0	0.07	0.72	3.99	1	0
40	2OG-FeII_Oxy_4	JmjC	62.14	0.00058	18.28	27	7	74.60	0.00025	19.19	27	7
41	2OG-FeII_Oxy_4	PhyH	96.47	4.4e-08	38.97	79	15	96.19	9.2e-08	38.93	79	15
42	2OG-FeII_Oxy_4	TauD	43.81	0.0013	20.64	27	19	31.29	0.0023	20.32	27	19
43	2OG-FeII_Oxy_4	Cupin_4	52.77	0.0013	21.18	27	7	45.22	0.0028	20.84	27	7
44	2OG-FeII_Oxy_4	cNMP_binding	0.22	0.28	5.88	1	0	0.20	0.3	6.09	1	0
45	2OG-FeII_Oxy_4	2OG-FeII_Oxy	88.08	5.4e-05	22.30	19	21	91.15	2.3e-05	23.65	20	20
46	2OG-FeII_Oxy_4	Cupin_8	67.44	0.0004	23.30	36	11	58.05	0.00059	24.18	36	11
47	2OG-FeII_Oxy_4	Pirin	61.54	0.00062	18.40	24	8	66.03	0.0005	18.94	25	8
48	2OG-FeII_Oxy_4	ARD	12.99	0.009	15.06	23	9	21.15	0.0055	16.40	22	9
49	2OG-FeII_Oxy_4	HgmA	0.90	0.15	12.87	22	0	1.61	0.1	14.08	22	0
50	2OG-FeII_Oxy_4	PMI_typeI	3.96	0.026	15.81	20	10	1.94	0.057	14.58	20	10
51	2OG-FeII_Oxy_4	Asp_Arg_Hydrox	94.71	4.5e-06	29.60	33	12	94.49	7.6e-06	30.79	74	18
52	2OG-FeII_Oxy_4	3-HAO	3.99	0.027	12.73	20	25	3.76	0.029	12.69	20	25
53	JmjN	FTO_NTD	0.05	0.81	6.39	1	0	0.06	0.76	5.80	1	0
54	JmjN	PhyH	0.71	0.053	9.98	1	0	0.56	0.11	8.18	1	0
55	JmjN	TauD	1.09	0.076	10.27	15	20	1.51	0.054	10.37	16	25
56	JmjN	Cupin_4	0.05	0.85	5.35	1	0	0.11	0.51	6.25	1	0
57	JmjN	2OG-FeII_Oxy	0.07	0.67	4.11	1	0	0.10	0.54	4.31	1	0
58	JmjN	Cupin_8	0.15	0.39	7.49	1	0	0.24	0.25	7.84	1	0
59	JmjN	Pirin	0.09	0.61	4.58	1	0	0.11	0.5	4.62	1	0
60	JmjN	ARD	0.09	0.6	5.38	1	0	0.13	0.43	5.58	1	0
61	JmjN	HgmA	0.16	0.42	8.83	1	0	0.28	0.23	9.90	2	50
62	JmjN	PMI_typeI	0.09	0.61	7.11	1	0	0.18	0.34	7.91	1	0
63	JmjN	Asp_Arg_Hydrox	0.05	0.82	4.62	1	0	0.19	0.31	6.55	1	0
64	JmjN	3-HAO	0.14	0.42	5.98	1	0	0.14	0.41	5.48	1	0
65	JmjC	FTO_NTD	24.63	0.0062	18.32	19	5	9.38	0.008	19.38	20	5
66	JmjC	PhyH	75.77	6.2e-05	24.45	27	0	68.42	0.0001	24.97	27	0
67	JmjC	TauD	39.38	0.0011	20.58	19	11	24.50	0.0033	19.61	19	11
68	JmjC	Cupin_4	99.60	5.3e-23	108.25	90	14	99.24	6.1e-19	107.85	90	14
69	JmjC	2OG-FeII_Oxy	0.93	0.076	9.33	5	0	0.20	0.3	6.80	20	10
70	JmjC	Cupin_8	99.73	7e-26	119.93	106	9	99.45	3.6e-21	118.34	106	10
71	JmjC	Pirin	91.38	4.7e-06	26.24	25	0	88.34	1.3e-05	25.61	25	0
72	JmjC	ARD	94.58	1e-06	31.09	24	4	93.32	2.8e-06	32.02	24	4
73	JmjC	HgmA	86.72	2.3e-05	30.56	24	4	73.29	0.00017	30.70	24	4
74	JmjC	PMI_typeI	93.72	6.6e-07	36.64	22	18	86.52	1.4e-05	35.71	21	19
75	JmjC	Asp_Arg_Hydrox	94.68	4.9e-07	32.65	29	3	92.55	2.7e-06	33.04	28	4
76	JmjC	3-HAO	93.45	2.9e-06	28.89	24	8	90.52	1.3e-05	28.08	24	8
77	PhyH	FTO_NTD	7.42	0.0086	20.73	19	26	3.56	0.021	19.43	19	26
78	PhyH	TauD	80.12	3.9e-05	32.35	26	23	79.83	3.8e-05	33.60	26	23
79	PhyH	Cupin_4	51.75	0.0003	28.19	26	31	28.13	0.0011	26.29	26	31
80	PhyH	cNMP_binding	1.11	0.069	9.91	1	0	1.46	0.056	10.35	1	0
81	PhyH	2OG-FeII_Oxy	2.00	0.052	11.87	23	17	2.67	0.041	12.39	22	18
82	PhyH	Cupin_8	40.94	0.00057	26.30	25	8	24.25	0.0016	25.05	26	8
83	PhyH	Pirin	27.89	0.0011	20.06	25	16	32.05	0.00082	20.50	25	16
84	PhyH	ARD	41.53	0.0006	23.33	26	19	43.60	0.00052	24.07	26	19
85	PhyH	HgmA	3.18	0.022	19.61	23	17	1.39	0.066	17.36	22	18
86	PhyH	PMI_typeI	23.67	0.0017	24.95	21	14	11.30	0.0048	23.72	22	14
87	PhyH	Asp_Arg_Hydrox	75.87	4.8e-05	29.08	30	23	73.13	6e-05	29.78	29	24
88	PhyH	3-HAO	20.99	0.0025	19.96	22	14	19.90	0.0027	19.85	22	14
89	2OG-FeII_Oxy	FTO_NTD	24.99	0.0063	18.52	36	14	15.61	0.0099	18.92	28	11
90	2OG-FeII_Oxy	TauD	0.81	0.088	11.96	9	22	0.72	0.098	11.65	9	22
91	2OG-FeII_Oxy	Cupin_4	1.17	0.1	12.16	9	22	0.82	0.13	11.51	10	20
92	2OG-FeII_Oxy	cNMP_binding	0.27	0.23	6.21	1	0	0.22	0.27	6.16	1	0
93	2OG-FeII_Oxy	Cupin_8	1.81	0.069	12.75	18	11	3.17	0.045	13.93	33	18
94	2OG-FeII_Oxy	Pirin	0.06	0.74	4.76	5	40	0.06	0.74	4.62	4	50
95	2OG-FeII_Oxy	ARD	0.89	0.098	10.40	5	60	0.24	0.26	8.18	4	25
96	2OG-FeII_Oxy	HgmA	0.10	0.62	9.18	8	13	0.84	0.16	12.69	9	11
97	2OG-FeII_Oxy	PMI_typeI	0.13	0.51	8.97	7	29	0.11	0.51	8.24	1	0
98	2OG-FeII_Oxy	Asp_Arg_Hydrox	12.63	0.0094	15.10	16	25	8.03	0.016	14.61	16	25
99	2OG-FeII_Oxy	3-HAO	0.03	0.94	4.05	1	0	0.08	0.66	5.47	1	0
100	Pirin	FTO_NTD	1.82	0.054	14.61	14	29	0.86	0.11	13.20	14	29
101	Pirin	TauD	6.19	0.016	15.93	15	7	5.31	0.017	16.00	14	7
102	Pirin	Cupin_4	90.46	2.6e-05	29.88	24	21	82.40	0.00013	28.56	24	21
103	Pirin	cNMP_binding	8.00	0.0097	12.09	10	10	15.25	0.0044	12.63	13	8
104	Pirin	Cupin_8	86.86	8.8e-05	26.95	24	17	70.29	0.00029	26.23	24	17
105	Pirin	ARD	97.30	7.4e-10	46.70	56	18	97.20	9.7e-10	48.50	54	19
106	Pirin	HgmA	93.85	5.6e-06	35.18	48	13	92.45	8.9e-06	38.97	42	14
107	Pirin	PMI_typeI	60.96	0.00022	26.33	22	23	33.30	0.001	25.04	22	23
108	Pirin	Asp_Arg_Hydrox	97.84	2.1e-11	53.88	62	11	97.53	1.1e-10	54.75	62	11
109	Pirin	3-HAO	96.93	6.3e-09	42.14	56	20	96.81	9.6e-09	42.50	56	20
110	PMI_typeI	FTO_NTD	0.66	0.16	16.64	21	24	0.65	0.15	16.84	22	23
111	PMI_typeI	TauD	1.06	0.091	16.81	24	4	1.35	0.075	17.18	24	4
112	PMI_typeI	Cupin_4	74.54	7.8e-05	38.61	24	17	76.22	6.4e-05	38.21	24	17
113	PMI_typeI	cNMP_binding	1.37	0.082	11.98	1	0	1.43	0.077	11.95	1	0
114	PMI_typeI	Cupin_8	74.59	9.1e-05	37.62	24	21	76.55	7.8e-05	37.04	25	20
115	PMI_typeI	ARD	41.30	0.00088	27.69	22	23	68.67	0.00017	30.25	22	23
116	PMI_typeI	HgmA	9.61	0.0076	27.02	22	9	11.41	0.0081	27.27	23	9
117	PMI_typeI	Asp_Arg_Hydrox	41.46	0.00077	28.39	22	14	56.33	0.00036	29.30	22	14
118	PMI_typeI	3-HAO	37.22	0.0014	26.04	22	23	52.29	0.00069	26.05	22	23
119	Asp_Arg_Hydrox	FTO_NTD	4.20	0.055	16.69	31	10	5.09	0.049	17.35	32	9
120	Asp_Arg_Hydrox	TauD	49.90	0.0009	25.27	30	20	45.42	0.0011	24.63	29	21
121	Asp_Arg_Hydrox	Cupin_4	95.86	6.4e-07	43.85	67	10	95.23	2.2e-06	41.57	33	9
122	Asp_Arg_Hydrox	cNMP_binding	4.91	0.02	12.60	28	21	15.17	0.0056	13.84	13	15
123	Asp_Arg_Hydrox	Cupin_8	93.72	1.2e-05	36.28	25	8	92.86	2.1e-05	35.35	25	8
124	Asp_Arg_Hydrox	ARD	97.23	2.7e-09	51.54	59	10	97.40	1.7e-09	51.17	58	10
125	Asp_Arg_Hydrox	HgmA	91.35	4.8e-05	35.55	41	5	91.63	2.8e-05	39.50	41	5
126	Asp_Arg_Hydrox	3-HAO	97.32	1.3e-09	52.59	59	17	97.53	4.8e-10	52.19	59	17
127	FTO_NTD	TauD	1.69	0.08	17.18	18	6	1.99	0.073	17.14	18	6
128	FTO_NTD	Cupin_4	62.06	0.0006	32.27	19	26	65.77	0.0009	29.99	18	22
129	FTO_NTD	cNMP_binding	0.29	0.26	9.22	1	0	0.23	0.33	9.41	1	0
130	FTO_NTD	Cupin_8	13.74	0.01	23.61	34	18	19.12	0.0071	24.02	33	18
131	FTO_NTD	ARD	1.84	0.066	16.11	20	10	5.10	0.022	18.36	21	10
132	FTO_NTD	HgmA	0.49	0.23	16.53	17	12	0.92	0.11	18.85	19	11
133	FTO_NTD	3-HAO	1.06	0.12	14.23	17	12	1.67	0.079	14.95	18	11
134	TauD	Cupin_4	14.00	0.0049	23.73	25	16	8.79	0.012	21.58	23	17
135	TauD	cNMP_binding	0.90	0.095	10.32	1	0	0.92	0.096	10.48	1	0
136	TauD	Cupin_8	11.44	0.0095	21.63	24	13	9.44	0.012	21.35	24	13
137	TauD	ARD	7.32	0.014	18.17	18	0	9.35	0.009	19.13	17	0
138	TauD	HgmA	1.99	0.048	19.35	13	0	2.08	0.042	20.22	13	0
139	TauD	3-HAO	2.37	0.045	15.02	15	0	2.63	0.044	14.98	15	0
140	Cupin_4	cNMP_binding	0.55	0.15	9.79	9	11	0.24	0.29	8.93	5	20
141	Cupin_4	Cupin_8	99.79	3.5e-26	172.41	97	16	99.80	2.5e-26	172.75	97	15
142	Cupin_4	ARD	93.49	1.7e-05	36.21	56	11	95.08	2.9e-06	38.86	56	11
143	Cupin_4	HgmA	66.96	0.00027	35.12	24	21	66.31	0.00025	36.93	24	21
144	Cupin_4	3-HAO	92.55	4.8e-05	33.12	68	13	94.45	1.4e-05	34.17	67	13
145	cNMP_binding	Cupin_8	2.17	0.047	11.93	1	0	0.19	0.31	7.72	9	11
146	cNMP_binding	ARD	12.71	0.0066	13.34	14	7	14.57	0.0066	14.39	33	3
147	cNMP_binding	HgmA	7.31	0.02	15.09	18	17	23.04	0.0065	19.06	19	16
148	cNMP_binding	3-HAO	4.51	0.018	11.54	13	8	1.42	0.053	9.99	13	8
149	Cupin_8	ARD	90.75	6.3e-05	32.35	27	22	93.60	1.1e-05	35.21	27	22
150	Cupin_8	HgmA	49.23	0.00064	32.13	27	22	49.96	0.00056	34.00	27	22
151	Cupin_8	3-HAO	86.29	0.00028	28.25	24	8	89.33	0.00013	28.61	24	8
152	ARD	HgmA	95.61	3.2e-07	46.49	44	14	94.67	1.1e-06	47.96	44	14
153	ARD	3-HAO	97.01	4.2e-09	48.35	53	15	97.04	5.1e-09	46.97	53	15
154	HgmA	3-HAO	95.13	1.6e-06	46.30	71	18	95.91	5.8e-07	43.65	71	18
155	Peptidase_S9	Abhydrolase_2	99.66	8.4e-22	104.64	163	16	99.60	9.6e-21	102.47	163	16
156	Peptidase_S9	Thioesterase	99.54	1.1e-20	98.64	78	13	99.52	2.1e-20	95.84	78	13
157	Peptidase_S9	COesterase	97.33	6.5e-11	61.93	81	17	96.39	3.5e-09	63.99	83	18
158	Peptidase_S9	Abhydrolase_6	98.99	1.3e-15	75.86	60	13	98.81	1.5e-14	73.73	60	15
159	Peptidase_S9	Esterase	99.48	9.4e-20	96.65	171	16	99.34	2.3e-18	96.20	171	16
160	Peptidase_S9	Lipase_3	97.39	3.8e-10	49.18	73	12	96.44	1.9e-08	46.74	40	20
161	Peptidase_S9	Abhydrolase_1	99.60	1.1e-22	116.90	88	14	99.34	2.3e-19	114.44	89	13
162	Peptidase_S9	Lipase	98.72	1.4e-14	76.05	91	10	97.97	8.1e-12	75.56	91	10
163	Peptidase_S9	Abhydrolase_3	99.68	3.4e-22	105.53	172	17	99.64	1.7e-21	104.19	170	16
164	Thioesterase	Abhydrolase_2	99.72	1.4e-23	110.89	171	11	99.68	1e-22	111.79	171	11
165	Thioesterase	COesterase	97.40	1.6e-10	58.92	102	14	96.58	4.5e-09	63.13	102	14
166	Thioesterase	Abhydrolase_6	99.48	1.8e-20	96.67	80	18	99.37	2.6e-19	96.71	80	18
167	Thioesterase	Esterase	99.40	6.2e-19	91.16	100	15	99.28	6.1e-18	93.98	100	15
168	Thioesterase	Lipase_3	97.24	8.1e-10	46.88	36	28	96.22	5e-08	44.39	39	26
169	Thioesterase	Abhydrolase_1	99.76	3.5e-25	127.02	98	16	99.57	8.9e-22	128.16	98	16
170	Thioesterase	Lipase	99.20	7e-18	90.38	103	11	98.59	1.8e-14	91.37	103	11
171	Thioesterase	Abhydrolase_3	99.54	1e-20	97.01	100	13	99.50	3.6e-20	97.84	100	13
172	Esterase	Abhydrolase_2	99.67	5e-22	115.62	111	14	99.70	1.3e-22	114.03	111	14
173	Esterase	COesterase	97.89	7.7e-12	72.98	128	13	97.34	1.8e-10	74.72	126	13
174	Esterase	Abhydrolase_6	97.84	4.1e-11	59.97	16	56	97.78	6.9e-11	57.54	16	56
175	Esterase	Lipase_3	95.55	6.6e-07	37.84	22	23	94.43	3.2e-06	36.63	22	23
176	Esterase	Abhydrolase_1	99.16	3.1e-17	98.64	114	15	98.97	5.2e-16	97.59	110	16
177	Esterase	Lipase	98.96	1.7e-15	88.25	115	14	98.50	2.5e-13	87.66	132	13
178	Esterase	Abhydrolase_3	99.40	2.2e-18	96.17	163	17	99.48	2.7e-19	96.07	163	17
179	Lipase_3	Abhydrolase_2	95.46	2.5e-07	41.48	40	20	96.42	2.8e-08	42.25	39	21
180	Lipase_3	COesterase	77.60	0.00011	32.93	23	22	80.14	7.3e-05	35.55	23	22
181	Lipase_3	Abhydrolase_6	95.90	4.5e-08	45.50	31	23	96.67	4.4e-09	46.58	58	17
182	Lipase_3	Abhydrolase_1	96.08	4e-08	50.00	74	16	96.45	1.2e-08	51.79	74	16
183	Lipase_3	Lipase	95.38	2.5e-07	46.13	40	23	94.91	4.9e-07	46.79	40	23
184	Lipase_3	Abhydrolase_3	95.74	1.7e-07	41.91	39	23	96.65	1.4e-08	42.87	39	23
185	Lipase	Abhydrolase_2	98.45	2.5e-13	85.79	117	16	98.97	1.1e-15	84.31	117	16
186	Lipase	COesterase	96.94	1.1e-09	73.77	114	15	97.11	5.1e-10	76.25	114	15
187	Lipase	Abhydrolase_6	97.88	5.8e-12	77.46	84	15	98.44	7.6e-14	76.12	84	15
188	Lipase	Abhydrolase_1	98.44	5.3e-14	98.03	103	16	98.70	4.4e-15	96.86	102	15
189	Lipase	Abhydrolase_3	98.31	5.6e-13	82.75	104	12	98.87	3.8e-15	80.25	104	12
190	COesterase	Abhydrolase_2	97.39	2.1e-10	72.80	115	14	98.01	6.2e-12	69.50	115	14
191	COesterase	Abhydrolase_3	98.16	3.8e-13	89.98	108	24	98.68	3.4e-15	85.29	108	24
192	Abhydrolase_2	Abhydrolase_6	98.91	7.6e-16	79.54	83	17	98.82	2.4e-15	78.24	83	17
193	Abhydrolase_2	Abhydrolase_1	99.60	1.6e-21	115.20	112	13	99.42	2.3e-19	115.19	112	13
194	Abhydrolase_2	Abhydrolase_3	99.62	1.8e-21	105.73	160	14	99.64	8.2e-22	106.40	160	15
195	Abhydrolase_6	Abhydrolase_3	98.68	3.9e-14	71.59	79	22	99.13	8e-17	82.77	80	21
196	Abhydrolase_1	Abhydrolase_3	99.42	8.3e-19	110.90	95	21	99.61	4.8e-21	110.69	95	21
197	GDPD	PI-PLC-X	97.09	8.2e-10	59.35	40	18	97.17	5.9e-10	56.62	38	18
198	Ribosom_S12_S23	S1	0.34	0.18	8.19	1	0	0.29	0.21	8.22	1	0
199	Ribosom_S12_S23	POT1	0.88	0.13	11.67	31	6	0.91	0.12	11.63	31	6
200	Ribosom_S12_S23	OB_NTP_bind	0.30	0.21	8.99	7	29	0.24	0.27	8.63	5	40
201	Ribosom_S12_S23	Rep-A_N	1.49	0.081	12.44	39	10	0.23	0.32	9.26	21	10
202	Ribosom_S12_S23	Rep_fac-A_C	0.06	0.75	6.89	6	0	0.08	0.66	7.71	9	11
203	Ribosom_S12_S23	Ribosomal_S17	1.27	0.082	11.57	12	8	5.42	0.023	13.87	14	14
204	Ribosom_S12_S23	eIF-1a	84.04	5.3e-05	25.89	33	30	85.08	5.5e-05	24.03	33	30
205	Ribosom_S12_S23	CSD	0.10	0.54	6.12	1	0	0.11	0.5	6.87	8	38
206	Ribosom_S12_S23	Rrp44_CSD1	0.45	0.23	11.08	8	25	0.92	0.13	12.50	10	20
207	Ribosom_S12_S23	DNA_ligase_A_C	0.05	0.81	5.37	1	0	0.02	0.99	4.34	1	0
208	Ribosom_S12_S23	Ribosomal_S28e	0.21	0.35	9.14	5	40	0.08	0.62	7.53	1	0
209	Ribosom_S12_S23	Ribosomal_L2	0.21	0.31	8.46	5	0	0.25	0.28	8.87	8	25
210	Ribosom_S12_S23	tRNA_anti-codon	1.83	0.053	11.47	14	29	4.16	0.024	12.39	13	31
211	Ribosom_S12_S23	MCM_OB	0.91	0.12	11.69	1	0	1.74	0.071	12.68	1	0
212	Ribosom_S12_S23	Rrp44_S1	0.20	0.32	8.38	1	0	0.14	0.41	7.99	1	0
213	Ribosom_S12_S23	SSB	3.66	0.02	14.54	14	21	4.27	0.02	13.80	13	23
214	eIF-1a	S1	80.42	0.00011	18.50	55	24	83.43	5.7e-05	17.58	54	24
215	eIF-1a	POT1	3.04	0.032	11.98	9	0	1.37	0.062	10.55	9	0
216	eIF-1a	OB_NTP_bind	0.04	0.91	3.17	1	0	0.05	0.83	3.86	1	0
217	eIF-1a	Rep-A_N	51.40	0.001	17.65	37	11	12.43	0.008	14.17	23	13
218	eIF-1a	Rep_fac-A_C	0.49	0.16	9.38	7	29	0.48	0.15	9.22	6	33
219	eIF-1a	Ribosomal_S17	53.35	0.00079	16.89	12	33	74.08	0.00026	19.07	12	33
220	eIF-1a	CSD	62.94	0.00041	16.82	49	16	31.06	0.0017	13.95	14	14
221	eIF-1a	Rrp44_CSD1	7.50	0.016	14.08	15	47	15.03	0.0082	15.66	15	47
222	eIF-1a	DNA_ligase_A_C	5.61	0.015	12.08	15	13	5.28	0.016	11.78	16	13
223	eIF-1a	Ribosomal_S28e	5.58	0.016	12.48	13	0	3.92	0.022	12.44	14	21
224	eIF-1a	Ribosomal_L2	0.95	0.074	9.29	1	0	5.45	0.015	11.91	1	0
225	eIF-1a	tRNA_anti-codon	21.09	0.0033	13.80	13	38	20.65	0.003	13.18	13	38
226	eIF-1a	MCM_OB	20.21	0.0023	16.69	10	30	17.42	0.0028	16.23	11	27
227	eIF-1a	Rrp44_S1	95.01	1.8e-06	27.40	53	19	94.47	3e-06	25.97	53	19
228	eIF-1a	SSB	22.25	0.0019	15.80	14	29	25.99	0.0015	15.65	14	29
229	S1	POT1	0.33	0.18	7.86	12	8	0.61	0.1	8.56	10	10
230	S1	Rep-A_N	0.31	0.2	7.39	1	0	0.34	0.18	7.32	1	0
231	S1	Rep_fac-A_C	0.95	0.078	9.60	1	0	0.83	0.087	9.36	1	0
232	S1	Ribosomal_S17	19.74	0.0029	12.60	16	19	10.43	0.007	12.27	16	19
233	S1	Rrp44_CSD1	1.79	0.046	10.67	12	8	1.57	0.054	10.69	13	8
234	S1	DNA_ligase_A_C	0.22	0.28	6.10	1	0	0.15	0.38	5.15	1	0
235	S1	Ribosomal_S28e	0.15	0.4	6.17	1	0	0.20	0.3	6.27	1	0
236	S1	Ribosomal_L2	3.98	0.016	10.25	10	10	2.85	0.024	10.12	8	13
237	S1	tRNA_anti-codon	10.71	0.0055	11.23	12	17	7.10	0.0087	10.74	12	17
238	S1	MCM_OB	5.53	0.015	11.71	11	9	0.97	0.071	9.25	8	25
239	S1	Rrp44_S1	97.62	6.3e-10	34.80	59	27	96.94	1.3e-08	34.14	59	27
240	S1	SSB	4.88	0.014	10.79	12	17	2.99	0.023	10.23	12	17
241	SSB	POT1	81.81	0.00012	23.04	64	6	73.83	0.00026	22.26	65	6
242	SSB	OB_NTP_bind	0.10	0.55	5.25	1	0	0.08	0.66	4.87	7	0
243	SSB	Rep-A_N	0.69	0.11	9.66	28	4	0.38	0.18	8.77	28	4
244	SSB	Rep_fac-A_C	1.08	0.088	10.97	13	15	1.09	0.088	11.01	14	14
245	SSB	Ribosomal_S17	18.46	0.0036	14.61	11	18	18.23	0.0034	15.38	13	15
246	SSB	CSD	8.75	0.0088	12.19	13	23	8.71	0.0088	12.20	13	23
247	SSB	Rrp44_CSD1	3.00	0.031	13.22	10	40	2.54	0.037	13.31	12	33
248	SSB	DNA_ligase_A_C	0.42	0.15	8.35	10	10	0.23	0.26	7.32	10	10
249	SSB	Ribosomal_S28e	1.66	0.052	10.74	9	22	2.50	0.035	11.91	10	20
250	SSB	Ribosomal_L2	2.81	0.023	11.62	10	40	3.27	0.018	12.26	10	40
251	SSB	tRNA_anti-codon	95.49	8.9e-07	28.39	33	24	96.28	1.4e-07	30.14	32	25
252	SSB	MCM_OB	79.25	9.7e-05	23.09	28	14	72.52	0.00018	22.87	28	14
253	SSB	Rrp44_S1	3.12	0.026	11.49	12	33	4.29	0.017	12.35	12	33
254	POT1	OB_NTP_bind	0.26	0.24	7.93	9	11	0.15	0.39	7.06	8	13
255	POT1	Rep-A_N	1.14	0.087	11.24	15	13	0.39	0.2	9.52	15	13
256	POT1	Rep_fac-A_C	17.92	0.0056	18.07	26	8	20.91	0.0041	18.99	27	7
257	POT1	Ribosomal_S17	19.22	0.0027	16.76	13	0	15.29	0.0038	16.51	12	0
258	POT1	CSD	0.54	0.12	8.66	9	11	0.41	0.16	8.44	8	13
259	POT1	Rrp44_CSD1	1.20	0.077	12.69	18	11	1.05	0.086	12.61	18	11
260	POT1	DNA_ligase_A_C	0.44	0.16	9.12	6	0	0.26	0.25	8.40	6	0
261	POT1	Ribosomal_S28e	1.37	0.071	11.27	12	0	4.24	0.017	14.41	11	0
262	POT1	Ribosomal_L2	0.23	0.27	7.98	5	0	0.30	0.22	8.56	6	0
263	POT1	tRNA_anti-codon	89.82	4.5e-05	24.17	58	9	92.76	1.2e-05	24.75	59	10
