	genes	instances
KH_1	37	92
DEAD	86	88
WW	49	88
PRY	87	87
RCC1_2	20	87
TPR_2	57	86
Filament	83	83
Ion_trans_2	68	83
ubiquitin	60	80
Cadherin_C_2	79	79
C1_1	61	79
Histone	77	77
TIG	27	77
RhoGEF	73	75
zf-CCCH	54	75
SRCR	20	75
Kazal_2	47	74
UCH	73	73
zf-H2C2_5	42	72
UCH_1	71	71
adh_short	70	70
RhoGAP	70	70
MHC_I	70	70
TPR_12	40	69
Annexin	16	68
adh_short_C2	66	66
Bromodomain	47	66
p450	64	64
zf-met	35	64
Homeobox_KN	61	62
Prok-RING_4	61	61
AAA_5	40	61
BACK	60	60
ResIII	58	60
HMG_box	50	60
EF-hand_8	48	60
EF-hand_5	44	60
Cadherin_3	5	60
SCAN	59	59
AAA	52	59
VWC	28	59
F-box	58	58
LRRNT	49	58
LRR_5	43	58
HMG_box_2	48	57
MORN	16	56
CBFD_NFYB_HMF	55	55
BTB_2	53	53
RabGAP-TBC	53	53
ABC_membrane	37	53
EGF_3	25	53
TAS2R	52	52
Hormone_recep	52	52
Y_phosphatase	40	52
Kazal_1	28	52
Cadherin_tail	51	51
F-box-like	51	51
Forkhead	51	51
MAGE	48	51
IL8	50	50
zf-C4	50	50
MHC_II_beta	50	50
Myb_DNA-binding	35	50
PSI	31	50
LRR_6	27	50
PX	49	49
7tm_2	49	49
ANAPC4_WD40	39	49
VWD	15	49
Kinesin	48	48
Thioredoxin	33	48
bZIP_2	47	47
TNFR_c6	23	47
Epiglycanin_TR	7	47
Microtub_bd	46	46
FHA	46	46
DnaJ	46	46
Neur_chan_LBD	46	46
FERM_M	46	46
Rad60-SLD	34	46
Gelsolin	14	46
SET	45	45
MHC_II_alpha	45	45
LRRC37	7	45
cNMP_binding	33	44
FG-GAP	20	44
TIL	11	44
C8	11	44
Neur_chan_memb	43	43
PMP22_Claudin	43	43
zf-C2H2_jaz	27	43
Kringle	16	43
SOCS_box	42	42
GAGE	42	42
NACHT	42	42
TPR_8	33	42
TPR_11	29	42
TB	7	42
UQ_con	41	41
Methyltransf_11	41	41
Reprolysin	41	41
ANF_receptor	41	41
RA	40	41
Sugar_tr	40	40
Myosin_head	40	40
bZIP_1	40	40
TGF_beta	40	40
Crystall	15	40
PYRIN	39	39
Pep_M12B_propep	39	39
UBA	31	39
Hydrolase	38	38
DSPc	38	38
Reprolysin_3	38	38
RGS	36	38
SEA	22	38
GoLoco	14	38
zf-FCS	6	38
Methyltransf_25	37	37
C1-set_C	37	37
TNF	37	37
TPR_19	28	37
TUDOR	14	37
EPTP	7	37
zf-RING_11	36	36
E1-E2_ATPase	36	36
Reprolysin_5	36	36
F5_F8_type_C	28	36
Pkinase_C	35	35
zf-CCHC	20	35
dsrm	19	35
NHL	10	35
Sulfotransfer_1	34	34
Death	34	34
RasGEF	34	34
Tubulin	34	34
SNF2_N	34	34
ArfGap	34	34
Cyclin_N	34	34
Serpin	34	34
AMP-binding	31	34
Chromo	28	34
Notch	13	34
Calx-beta	9	34
Proteasome	33	33
Lipocalin	33	33
Tetraspannin	33	33
Tubulin_C	33	33
DUF1986	31	33
TPR_17	22	33
TPR_10	9	33
Cation_ATPase	32	32
Abhydrolase_1	32	32
CAMSAP_CH	32	32
G-patch	32	32
FERM_N	32	32
KR	32	32
MAGE_N	32	32
Sema	32	32
C1q	31	32
LRRCT	23	32
HEAT	19	32
Xin	2	32
Actin	31	31
Keratin_B2	31	31
Defensin_beta_2	31	31
FYVE	30	31
MARVEL	29	31
TPR_14	29	31
PLAT	19	31
MAM	18	31
GST_C	30	30
GPS	30	30
MBT	10	30
Ets	29	29
JmjC	29	29
Glycos_transf_2	29	29
Fibrinogen_C	29	29
7tm_3	29	29
Pro_isomerase	29	29
HECT	29	29
CARD	28	29
PDZ_2	27	29
Kunitz_BPTI	20	29
FKBP_C	18	29
BRCT	16	29
S_100	28	28
Metallophos	28	28
Claudin_2	28	28
PAS	26	28
PID	26	28
Rhodanese	26	28
zf-HC5HC2H	25	28
Guanylate_cyc	18	28
CBS	18	28
Thyroglobulin_1	17	28
zf-RanBP	17	28
GTF2I	7	28
Histone_H2A_C	27	27
HSP70	27	27
PAS_3	27	27
UDPGT	26	26
FERM_C	26	26
Peptidase_M14	24	26
GATA	18	26
PPAK	1	26
