	altered_positions	non-altered_positions
Lig_chan-Glu_bd	626	1421
Linker_histone	501	514
Lipocalin	1729	2470
Lys	336	766
MAGE	1510	4529
MAGE_N	482	1507
MAM	1722	2967
MARVEL	1277	2284
MBOAT	1268	2221
MBT	658	1406
MFS_1	14478	22786
MH1	310	862
MHC_I	1426	1908
MHC_II_alpha	177	304
MHC_II_beta	229	292
MHC_I_C	29	53
MIF4G	701	1664
MIP	1110	1526
MIT	273	505
MMR_HSR1	3178	6155
MORN	425	861
MT	1758	3340
Macro	466	998
Med26	128	529
Metallophos	1602	3570
Metallothio	354	381
Methyltransf_11	1345	2282
Methyltransf_12	757	1333
Methyltransf_23	603	1191
Methyltransf_25	1218	2065
Methyltransf_31	1048	1639
Microtub_bd	2088	4059
Mito_carr	5538	9171
MreB_Mbl	496	1772
Mucin2_WxxW	268	638
MutS_V	374	565
MyTH4	438	705
Myb_DNA-bind_6	238	728
Myb_DNA-binding	577	1695
Myosin_N	225	375
Myosin_head	9398	15897
Myosin_tail_1	5716	9418
Myotub-related	1383	3237
NACHT	1588	2244
NAD_binding_1	553	722
NAD_binding_8	453	930
NAP	629	3087
NCD3G	236	427
NDK	740	1121
NHL	284	694
NPIP	157	4490
NTF2	189	850
NTP_transf_2	300	721
NTR	521	1217
NUDIX	808	1433
Na_Ca_ex	961	1700
Na_H_Exchanger	1738	3474
Nebulin	1852	2991
Neur_chan_LBD	3246	5934
Neur_chan_memb	3204	5623
Neuralized	499	1102
Nop	255	431
Notch	180	377
OAR	88	192
OATP	2826	4095
OB_NTP_bind	625	1205
OLF	1159	2024
OTU	334	1058
Oxysterol_BP	1349	2750
PA	463	789
PAM2	67	131
PAN_1	329	653
PAP2	980	1529
PARP	969	1753
PAS	1040	2045
PAS_11	689	1499
PAS_3	748	1609
PAS_9	431	787
PB1	353	773
PBD	201	436
PCI	460	1290
PDEase_I	1587	3346
PDZ	6579	12071
PDZ_2	861	1327
PG_binding_1	402	675
PH	8049	16706
PHD	1272	3717
PHD_2	142	390
PH_11	322	1399
PH_9	494	955
PI-PLC-X	721	1448
PI-PLC-Y	559	1130
PI3_PI4_kinase	1163	3149
PID	1234	2438
PKD	854	750
PLAC	153	287
PLAT	1022	2199
PLDc_2	560	856
PMP22_Claudin	2549	4084
PNMA	805	2677
PP2C	1436	3242
PPAK	232	452
PPTA	128	292
PRY	829	1511
PSI	791	1330
PSI_integrin	187	321
PTB	509	1023
PTCB-BRCT	360	646
PUF	147	413
PWWP	574	1652
PX	1791	3446
PYRIN	614	990
Pep_M12B_propep	1874	3070
Peptidase_C1	1169	1604
Peptidase_C14	1131	2055
Peptidase_C2	1491	2591
Peptidase_M1	1638	3326
Peptidase_M10	1295	1963
Peptidase_M14	2537	3929
PhoLip_ATPase_C	1234	2204
PhoLip_ATPase_N	324	603
Phospholip_A2_1	573	717
Pkinase	38184	83139
Pkinase_C	500	934
Pkinase_Tyr	37354	81022
Plectin	1282	1323
Plexin_cytopl	1665	3147
Pou	294	858
Pre-SET	229	463
Prenyltrans	286	681
Pro-rich	386	858
Pro_isomerase	884	2406
Prok-RING_4	527	1064
Proteasome	1163	2333
Pyr_redox_2	1109	1990
R3H	192	462
RA	1201	1988
RAWUL	129	394
RCC1	1647	3755
RCC1_2	714	1805
RGS	1493	2922
RINGv	153	409
RNase_T	703	1178
RPEL	128	303
RRM_1	6294	18206
RUN	871	1805
RYDR_ITPR	759	1521
RabGAP-TBC	2947	6703
Rad60-SLD	716	1979
Ran_BP1	307	2366
Ras	7932	17572
RasGAP	813	1955
RasGEF	1626	3456
RasGEF_N	723	1338
Recep_L_domain	551	981
Reprolysin	2746	4824
Reprolysin_2	688	1355
Reprolysin_3	1541	2824
Reprolysin_5	2199	3894
ResIII	2473	5907
RhoGAP	3135	6800
RhoGEF	4347	8433
Rhodanese	789	1796
Ribosomal_L7Ae	346	687
Ricin_B_lectin	1042	1700
RnaseA	698	930
Roc	5099	11849
Rpr2	69	97
RyR	376	698
S1	288	601
S4	52	140
SAM_1	2195	4286
SAM_2	2289	4446
SAM_PNT	396	686
SAP	204	459
SBP_bac_3	1136	2825
SCAN	1706	3291
SEA	1527	2294
SET	1254	2991
SH2	2897	5479
SH3_1	3655	7264
SH3_2	4436	8968
SH3_9	3497	7065
SNARE	278	411
SNF	3577	6218
SNF2_N	2439	7010
SOCS_box	569	806
SPAN-X	198	790
SPRY	3484	6622
SRCR	2602	4734
SRPRB	1004	2360
SSF	2017	3218
SSXRD	72	238
START	1109	1707
STAS	552	717
S_100	480	709
SapB_2	167	204
Sec7	862	1829
Sel1	161	307
Sema	4500	6975
Septin	1333	2536
Serpin	5276	7079
Serum_albumin	751	1149
Snf7	864	1511
Somatomedin_B	238	360
Spectrin	10756	18498
Spin-Ssty	84	646
Sterol-sensing	592	1079
Sugar_tr	6243	10128
Sulfatase	1844	3158
Sulfate_transp	1716	2438
Sulfotransfer_1	2671	5216
Sulfotransfer_2	1031	1963
Sulfotransfer_3	871	1270
Sushi	6753	11158
Syntaxin	708	1245
T-box	933	2148
TAF	453	602
TAS2R	3169	4582
TB	620	1098
TFIIS_C	45	189
TGF_beta	1220	2454
TGFb_propeptide	1251	2346
THAP	291	650
TIG	2161	3622
TIL	756	1621
TILa	266	762
TIR	960	1931
TIR_2	430	690
TMC	346	534
TNF	658	1394
TNFR_c6	696	1099
TPR_1	1177	3141
TPR_10	470	911
TPR_11	492	1221
TPR_12	1364	3258
TPR_14	325	903
TPR_17	312	776
TPR_19	724	1572
TPR_2	727	2027
TPR_7	146	394
TPR_8	380	946
TRAM_LAG1_CLN8	1080	1926
TSP_1	3131	4960
TSP_3	366	534
TTL	1712	2578
TUDOR	1306	3144
Tetraspannin	2483	4139
ThiF	968	2089
Thiol-ester_cl	65	174
Thioredoxin	1889	2934
Thioredoxin_6	888	1288
Thyroglobulin_1	717	1093
Tissue_fac	537	921
Transglut_C	656	946
Transglut_core	503	665
Trefoil	214	368
Trypsin	10734	15206
Trypsin_2	1478	2107
Tubulin	1254	3467
Tubulin-binding	83	256
Tubulin_C	810	2027
UBA	426	903
UBA_4	149	365
UBX	340	619
UCH	3559	13534
UCH_1	4001	15639
UDPGT	4835	6494
UIM	54	181
UPAR_LY6	573	967
UQ_con	1302	4166
V-set	12665	17777
VCBS	406	613
VPS9	390	749
VWA	6610	10360
VWA_2	3770	6320
VWA_3	1072	1825
VWC	1255	1990
VWD	2427	5028
WAP	385	562
WD40	3985	8747
WH1	358	808
WH2	167	257
WW	702	1764
WWE	360	718
Xin	205	295
Xlink	823	1361
Y_phosphatase	3909	7572
ZU5	512	745
ZZ	264	579
Zip	1628	2619
Zona_pellucida	1352	1938
adh_short	4225	6162
adh_short_C2	4604	6798
bZIP_1	716	1639
bZIP_2	719	1655
bZIP_Maf	669	1435
cEGF	2217	3440
cNMP_binding	1306	2391
dDENN	227	501
dsrm	671	1585
fn1	209	356
fn2	324	669
fn3	20464	32929
hEGF	1085	2007
ig	24475	39010
p450	10231	14703
tRNA-synt_1	1225	2236
tRNA_int_endo	71	99
uDENN	302	620
ubiquitin	1291	3005
wnt	2191	3549
zf-A20	67	195
zf-AN1	151	277
zf-BED	151	408
zf-B_box	1043	2382
zf-C2H2	33689	65210
zf-C2H2_4	1699	3317
zf-C2H2_6	1728	3343
zf-C2H2_jaz	341	765
zf-C2HC	217	446
zf-C3HC4	2619	6578
zf-C3HC4_2	1865	4389
zf-C3HC4_3	2216	5182
zf-C3HC4_4	879	2430
zf-C4	844	2300
zf-CCCH	504	1162
zf-CCHC	171	459
zf-CXXC	147	452
zf-DHHC	1024	2131
zf-FCS	357	1104
zf-H2C2_2	9772	18152
zf-H2C2_5	463	1257
zf-HC5HC2H	578	1546
zf-HC5HC2H_2	574	1569
zf-MYND	269	551
zf-NF-X1	56	151
zf-RING_11	309	702
zf-RING_2	2113	5056
zf-RING_5	1653	3993
zf-RING_UBOX	1801	4481
zf-RanBP	229	551
zf-TRAF	226	400
zf-UBP	263	620
zf-met	426	1054
zf-rbx1	301	769
