	metabolite_label	peptide_label	rna_label	druglike_label	ion_label	sm_label	dna_label
Amidohydro_2	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Amidohydro_3	0.0	0.0	0.0	1.0	1.0	1.0	0.0
Aminotran_3	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Aminotran_4	1.0	0.0	0.0	1.0	1.0	1.0	0.0
Aminotran_5	1.0	0.0	0.0	1.0	1.0	1.0	0.0
Ammonium_transp	0.0	0.0	0.0	0.0	0.0	0.0	0.0
An_peroxidase	1.0	0.0	0.0	1.0	1.0	1.0	0.0
Arg_tRNA_synt_N	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Arginase	0.0	0.0	0.0	1.0	0.0	1.0	0.0
ArgoL2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ArgoN	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Asn_synthase	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Asp_protease_2	0.0	1.0	0.0	1.0	0.0	1.0	0.0
Asparaginase	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Asparaginase_2	1.0	0.0	0.0	1.0	0.0	1.0	0.0
AstE_AspA	0.0	0.0	0.0	0.0	1.0	1.0	0.0
Atg8	0.0	1.0	0.0	0.0	0.0	0.0	0.0
B12-binding	0.0	0.0	0.0	1.0	0.0	1.0	0.0
B12-binding_2	0.0	0.0	0.0	1.0	0.0	1.0	0.0
BCDHK_Adom3	0.0	0.0	0.0	0.0	0.0	1.0	0.0
BNR_3	1.0	0.0	0.0	1.0	0.0	1.0	0.0
BPL_LplA_LipB	1.0	0.0	0.0	1.0	1.0	1.0	0.0
BRCT_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BTD	0.0	0.0	0.0	0.0	0.0	0.0	1.0
BTK	0.0	0.0	0.0	0.0	1.0	0.0	0.0
BcrAD_BadFG	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Beta-Casp	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Beta-lactamase	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Biopterin_H	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Biotin_carb_C	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Biotin_carb_N	0.0	0.0	0.0	0.0	0.0	1.0	0.0
CAF1C_H4-bd	0.0	1.0	0.0	0.0	0.0	0.0	0.0
CAF1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CDC48_2	0.0	1.0	0.0	0.0	0.0	0.0	0.0
CDP-OH_P_transf	0.0	0.0	0.0	0.0	1.0	0.0	0.0
CLP_protease	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CN_hydrolase	1.0	0.0	0.0	1.0	0.0	1.0	0.0
CO_deh_flav_C	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPSase_L_D2	1.0	0.0	0.0	1.0	0.0	1.0	0.0
CTD_bind	0.0	1.0	0.0	0.0	0.0	0.0	0.0
CTP_transf_3	1.0	0.0	0.0	1.0	0.0	1.0	0.0
CTP_transf_like	1.0	0.0	0.0	1.0	1.0	1.0	0.0
CYTH	0.0	0.0	0.0	1.0	1.0	1.0	0.0
Carboxyl_trans	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Carn_acyltransf	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Catalase-rel	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Catalase	1.0	0.0	0.0	1.0	0.0	1.0	0.0
CbiA	1.0	0.0	0.0	1.0	0.0	1.0	1.0
Cbl_N2	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Cbl_N3	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Cbl_N	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Ceramidase_alk	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ceramidse_alk_C	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Choline_kinase	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CitMHS	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Citrate_synt	1.0	0.0	0.0	1.0	1.0	1.0	0.0
ClpB_D2-small	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CoA_trans	0.0	0.0	0.0	0.0	0.0	1.0	0.0
CoA_transf_3	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Cob_adeno_trans	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Coprogen_oxidas	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Creatinase_N	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cu-oxidase	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cu-oxidase_2	0.0	0.0	0.0	1.0	1.0	1.0	0.0
Cu-oxidase_3	1.0	0.0	0.0	1.0	1.0	1.0	0.0
Cu2_monoox_C	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Cu2_monooxygen	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Cu_amine_oxidN3	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Cu_amine_oxid	0.0	0.0	0.0	1.0	1.0	0.0	0.0
Cullin	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cullin_binding	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Cupin_2	1.0	0.0	0.0	1.0	1.0	1.0	0.0
CutA1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cys_Met_Meta_PP	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Cytochrom_C	0.0	0.0	0.0	1.0	0.0	1.0	0.0
DALR_1	0.0	0.0	1.0	0.0	0.0	0.0	0.0
DAO_C	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DHDPS	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DHFR_1	1.0	0.0	0.0	1.0	0.0	1.0	0.0
DHHA1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DHHA2	0.0	0.0	0.0	0.0	1.0	1.0	0.0
DHH	0.0	0.0	0.0	1.0	1.0	1.0	0.0
DJ-1_PfpI	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DNA_binding_1	0.0	0.0	0.0	0.0	0.0	0.0	1.0
DNA_gyraseB	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DNA_ligase_A_C	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DNA_ligase_A_M	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DNA_ligase_A_N	0.0	1.0	0.0	0.0	0.0	0.0	0.0
DNA_mis_repair	0.0	0.0	0.0	1.0	0.0	1.0	0.0
DNA_photolyase	0.0	0.0	0.0	0.0	0.0	1.0	1.0
DNA_pol_A	0.0	0.0	0.0	1.0	0.0	1.0	1.0
DNA_pol_A_exo1	0.0	0.0	1.0	0.0	1.0	0.0	1.0
DNA_pol_B	1.0	0.0	1.0	1.0	1.0	1.0	1.0
DNA_pol_B_exo1	0.0	0.0	0.0	0.0	0.0	1.0	1.0
DNA_pol_B_thumb	1.0	0.0	1.0	1.0	0.0	1.0	1.0
DNA_primase_S	0.0	0.0	0.0	0.0	1.0	0.0	0.0
DNA_primase_lrg	0.0	0.0	0.0	1.0	0.0	1.0	0.0
DNA_topoisoIV	0.0	0.0	0.0	0.0	0.0	0.0	1.0
DOT1	0.0	0.0	0.0	1.0	0.0	0.0	0.0
DPPIV_N	1.0	0.0	0.0	0.0	0.0	1.0	0.0
DRMBL	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DSBA	1.0	0.0	0.0	1.0	0.0	1.0	0.0
DS	1.0	0.0	0.0	1.0	0.0	1.0	0.0
DUF1241	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DUF1325	0.0	1.0	0.0	0.0	0.0	0.0	0.0
DUF1794	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DUF4392	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DUF4430	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DUF4440	0.0	0.0	0.0	1.0	0.0	1.0	0.0
DUF89	0.0	0.0	0.0	0.0	1.0	0.0	0.0
DUF902	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Dak1	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Dak2	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Dala_Dala_lig_C	1.0	0.0	0.0	1.0	1.0	1.0	0.0
DcpS	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DcpS_C	1.0	0.0	0.0	1.0	1.0	1.0	1.0
Defensin_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DnaB_C	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DnaJ_C	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dynein_light	0.0	1.0	0.0	0.0	0.0	0.0	0.0
E1_DerP2_DerF2	0.0	0.0	0.0	1.0	0.0	0.0	0.0
E1_dh	0.0	0.0	0.0	1.0	0.0	1.0	0.0
EB1	0.0	1.0	0.0	0.0	0.0	0.0	0.0
ECH_2	1.0	0.0	0.0	1.0	0.0	1.0	0.0
EFG_C	0.0	0.0	0.0	0.0	0.0	1.0	0.0
EFG_II	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EFG_IV	0.0	0.0	0.0	1.0	0.0	1.0	0.0
EGF_MSP1_1	1.0	0.0	0.0	1.0	1.0	1.0	0.0
ELFV_dehydrog_N	1.0	0.0	0.0	1.0	0.0	1.0	0.0
EMG1	0.0	0.0	0.0	1.0	0.0	1.0	0.0
ERAP1_C	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERCC4	0.0	0.0	0.0	0.0	1.0	0.0	0.0
ERO1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ETF	1.0	0.0	0.0	1.0	0.0	1.0	0.0
ETF_alpha	0.0	0.0	0.0	1.0	0.0	1.0	0.0
EndIII_4Fe-2S	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Endonuclease_5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Endonuclease_NS	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Enolase_C	1.0	0.0	0.0	1.0	1.0	1.0	0.0
Enolase_N	1.0	0.0	0.0	1.0	1.0	1.0	0.0
Epimerase_2	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Evr1_Alr	0.0	0.0	0.0	1.0	0.0	1.0	0.0
FAA_hydrolase	1.0	0.0	0.0	0.0	0.0	1.0	0.0
FAD-oxidase_C	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAD_binding_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAD_binding_4	1.0	0.0	0.0	1.0	0.0	1.0	0.0
FAD_binding_5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAD_binding_6	1.0	0.0	0.0	1.0	0.0	1.0	0.0
FAD_binding_7	0.0	0.0	0.0	1.0	0.0	1.0	1.0
FBPase	1.0	0.0	0.0	0.0	0.0	0.0	0.0
FGE-sulfatase	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGGY_C	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGGY_N	1.0	0.0	0.0	1.0	0.0	1.0	0.0
FMN_red	0.0	0.0	0.0	1.0	0.0	1.0	0.0
FR47	0.0	0.0	0.0	1.0	0.0	1.0	0.0
FTO_CTD	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Fe-ADH	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Fe_hyd_lg_C	0.0	0.0	0.0	1.0	0.0	1.0	0.0
FeoB_N	0.0	0.0	0.0	1.0	1.0	1.0	0.0
Fer2	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Fer2_2	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Fer4_10	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Fer4_20	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Fer4_6	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Fer4_8	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Fer4_9	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Ferritin	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Ferrochelatase	0.0	0.0	0.0	1.0	1.0	1.0	0.0
Fibrillarin	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fic	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Flavodoxin_1	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Flavodoxin_2	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Flavokinase	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Flavoprotein	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Focal_AT	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Folate_rec	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Formyl_trans_C	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Formyl_trans_N	1.0	0.0	0.0	0.0	1.0	1.0	0.0
Frataxin_Cyay	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Fumble	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Furin-like	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G6PD_C	0.0	0.0	0.0	1.0	0.0	1.0	0.0
GAD	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GAF_2	1.0	0.0	0.0	1.0	0.0	0.0	0.0
GAF_3	1.0	0.0	0.0	1.0	0.0	1.0	0.0
GARS_A	1.0	0.0	0.0	1.0	0.0	1.0	0.0
GATase	0.0	0.0	0.0	1.0	0.0	1.0	0.0
GATase_6	0.0	0.0	0.0	1.0	0.0	1.0	0.0
GCV_T	0.0	0.0	0.0	1.0	0.0	1.0	0.0
GDC-P	0.0	0.0	0.0	1.0	0.0	1.0	0.0
GDPD	1.0	0.0	0.0	1.0	1.0	1.0	0.0
GH3	1.0	0.0	0.0	1.0	0.0	1.0	0.0
GHMP_kinases_C	0.0	0.0	0.0	1.0	0.0	0.0	0.0
GHMP_kinases_N	1.0	0.0	0.0	1.0	0.0	0.0	0.0
GIY-YIG	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GLTP	1.0	0.0	0.0	1.0	0.0	1.0	0.0
GMC_oxred_C	1.0	0.0	0.0	1.0	0.0	1.0	0.0
GMP_PDE_delta	0.0	1.0	0.0	0.0	0.0	1.0	0.0
GMP_synt_C	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GRASP55_65	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GSDH	0.0	0.0	0.0	1.0	1.0	1.0	0.0
GSH_synth_ATP	1.0	0.0	0.0	1.0	1.0	1.0	0.0
GTP_EFTU_D3	0.0	0.0	1.0	0.0	0.0	0.0	0.0
GTP_cyclohydroI	0.0	0.0	0.0	1.0	1.0	1.0	0.0
GalKase_gal_bdg	1.0	0.0	0.0	1.0	0.0	1.0	0.0
GalP_UDP_transf	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gal_Lectin	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Gal_mutarotas_2	1.0	0.0	0.0	1.0	0.0	1.0	0.0
GatB_N	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Gcd10p	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gln-synt_C	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Gln-synt_N	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Glucosamine_iso	1.0	0.0	0.0	1.0	1.0	1.0	0.0
Glutaminase	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Gly_transf_sug	1.0	0.0	0.0	1.0	1.0	1.0	0.0
Glyco_hydro_15	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Glyco_hydro_18	1.0	1.0	0.0	1.0	0.0	1.0	0.0
Glyco_hydro_1	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Glyco_hydro_20	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Glyco_hydro_2_C	1.0	0.0	0.0	1.0	1.0	1.0	0.0
Glyco_hydro_2_N	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Glyco_hydro_30	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Glyco_hydro_35	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Glyco_hydro_38C	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Glyco_hydro_38	1.0	0.0	0.0	1.0	1.0	1.0	0.0
Glyco_hydro_47	1.0	0.0	0.0	1.0	1.0	1.0	0.0
Glyco_hydro_65m	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Glyco_hydro_99	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Glyco_tran_28_C	1.0	0.0	0.0	1.0	0.0	0.0	0.0
Glyco_tranf_2_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Glyco_trans_1_2	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Glyco_trans_1_4	1.0	0.0	0.0	1.0	0.0	0.0	0.0
Glyco_trans_4_4	1.0	0.0	0.0	0.0	0.0	1.0	0.0
Glyco_transf_41	1.0	1.0	0.0	1.0	0.0	1.0	0.0
Glyco_transf_4	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Glyco_transf_64	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Glycogen_syn	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Glycohydro_20b2	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Glycolytic	0.0	1.0	0.0	1.0	0.0	1.0	0.0
Glycos_transf_1	1.0	0.0	0.0	0.0	1.0	1.0	0.0
Glycos_transf_3	1.0	0.0	0.0	1.0	0.0	0.0	0.0
Glyoxalase	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Glyoxalase_4	0.0	0.0	0.0	1.0	1.0	1.0	0.0
Gp_dh_C	1.0	1.0	0.0	0.0	0.0	1.0	0.0
H2TH	0.0	0.0	0.0	0.0	0.0	0.0	1.0
HAD	1.0	0.0	0.0	1.0	1.0	1.0	0.0
HAT_KAT11	0.0	0.0	0.0	1.0	0.0	1.0	0.0
HBB	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HD	1.0	0.0	0.0	1.0	1.0	0.0	0.0
HD_3	0.0	0.0	0.0	0.0	1.0	1.0	0.0
HEAT_PBS	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HGTP_anticodon	0.0	0.0	1.0	0.0	0.0	0.0	0.0
HHH	0.0	0.0	0.0	0.0	0.0	0.0	1.0
HIN	0.0	0.0	0.0	0.0	0.0	0.0	1.0
HIT	1.0	0.0	0.0	1.0	1.0	1.0	1.0
HMGL-like	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMG_CoA_synt_C	0.0	0.0	0.0	1.0	0.0	1.0	0.0
HMG_CoA_synt_N	0.0	0.0	0.0	1.0	0.0	1.0	0.0
HNOB	0.0	0.0	0.0	1.0	0.0	1.0	0.0
HORMA	0.0	1.0	0.0	0.0	0.0	0.0	0.0
HSP90	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Ham1p_like	1.0	0.0	0.0	1.0	1.0	1.0	0.0
Helicase_C_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Heme_oxygenase	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Hemerythrin	0.0	0.0	0.0	1.0	1.0	1.0	0.0
Hexapep	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hexokinase_2	1.0	0.0	0.0	1.0	1.0	1.0	0.0
HhH-GPD	1.0	0.0	0.0	1.0	0.0	0.0	1.0
His_Phos_2	1.0	0.0	0.0	1.0	1.0	1.0	0.0
Hormone_5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HpcH_HpaI	1.0	0.0	0.0	1.0	1.0	1.0	0.0
Hydrolase_6	0.0	0.0	0.0	1.0	1.0	1.0	0.0
Hydrolase_like	1.0	0.0	0.0	1.0	0.0	1.0	0.0
IDO	0.0	0.0	0.0	1.0	0.0	1.0	0.0
IF-2B	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IF4E	0.0	1.0	0.0	1.0	0.0	1.0	0.0
IL17	0.0	1.0	0.0	0.0	0.0	1.0	0.0
IMPDH	1.0	0.0	0.0	1.0	0.0	1.0	0.0
IMS	1.0	0.0	0.0	1.0	1.0	1.0	1.0
IPK	1.0	0.0	0.0	1.0	0.0	1.0	0.0
IPPT	0.0	0.0	0.0	1.0	0.0	1.0	0.0
IP_trans	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Inos-1-P_synth	1.0	0.0	0.0	1.0	1.0	1.0	0.0
Inositol_P	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Ins_P5_2-kin	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Insulin	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Iso_dh	1.0	0.0	0.0	0.0	1.0	0.0	0.0
Isochorismatase	0.0	0.0	0.0	1.0	1.0	1.0	0.0
IspD	1.0	0.0	0.0	1.0	1.0	1.0	0.0
Jacalin	1.0	1.0	0.0	1.0	0.0	1.0	0.0
Ketoacyl-synt_C	0.0	0.0	0.0	1.0	0.0	1.0	0.0
LAG1-DNAbind	0.0	0.0	0.0	0.0	0.0	0.0	1.0
LANC_like	0.0	0.0	0.0	0.0	1.0	0.0	0.0
LMWPc	0.0	0.0	0.0	0.0	1.0	1.0	0.0
Lactamase_B	1.0	0.0	1.0	1.0	0.0	1.0	0.0
Lactamase_B_3	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Lactamase_B_6	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Ldh_1_C	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lectin_leg-like	1.0	0.0	0.0	1.0	1.0	1.0	0.0
Ligase_CoA	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Lipase_GDSL	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Lipase_GDSL_2	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Lipocalin_2	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Lipocalin_7	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Lipoxygenase	1.0	0.0	0.0	1.0	0.0	0.0	0.0
